dominio;interno;servicios;anioModelo;cantAsientos;empresaNro;cuit;razonSocial;vigenciaHastaInspeccionTecnica;tecnicaNro;tipoTecnica;categoriaAprob;CarroceriaMarca;CarroceriaModelo;expOrig;expModif;disposicion;tacografoMarca;tacografoNro;linea;chasisNro;chasisMarca;chasisModelo;accesibilidad;jurisdiccion;aireAcondicionado;vigenciaHasta
AC873WE;9014;"SERVICIO COMÚN";2018;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";06/02/2027;260672;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";METALPAR;;63696/2017;;087/17;;;9;8BBC67B1AJM001162;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2028-12-31
AC925SZ;9015;"SERVICIO COMÚN";2018;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";11/02/2027;418854;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";METALPAR;;63696/2017;;087/17;;;9;8BBC67B1AJM001163;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2028-12-31
AD096BC;9042;"SERVICIO COMÚN";2018;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";24/02/2027;419083;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";METALPAR;;63696/2017;;087/17;;;9;8BBC67B1AKM001241;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2028-12-31
AD096BD;9064;"SERVICIO COMÚN";2018;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";19/02/2027;419006;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";METALPAR;;63696/2017;;087/17;;;9;8BBC67B1AKM001242;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2028-12-31
AD198TR;9022;"SERVICIO COMÚN";2019;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";14/02/2027;418946;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";METALPAR;;63696/2017;;087/17;;;9;8BBC67B1AKM001191;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2029-12-31
AD255SL;9045;"SERVICIO COMÚN";2019;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";04/03/2027;420098;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;9;8BBC67B1AKM001227;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2025-02-12
AD255SM;9061;"SERVICIO COMÚN";2019;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";13/02/2027;418913;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;9;8BBC67B1AKM001230;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2025-02-12
AD463UN;9353;"SERVICIO COMÚN";2019;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";26/12/2026;250064;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;164;8BBC67B1AKM001278;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2029-12-31
AD463UR;9043;"SERVICIO COMÚN";2019;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";11/10/2026;114235;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;9;8BBC67B1AKM001251;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2024-01-01
AD463UW;9044;"SERVICIO COMÚN";2019;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";09/10/2026;67090;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;9;8BBC67B1AKM001252;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2024-01-05
AD463UY;9013;"SERVICIO COMÚN";2019;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";20/10/2026;114370;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;9;8BBC67B1AKM001256;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2024-01-14
AD558VL;9328;"SERVICIO COMÚN";2019;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";26/09/2026;95209;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;164;8BBC67B1AKM001262;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2024-02-14
AD706SX;9361;"SERVICIO COMÚN";2019;25;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";30/12/2026;250148;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65134/2016;;0056/16;;;164;8BBC59B1AKM002814;AGRALE;"MT 15.0 LE Euro V";SI;JN:NACIONAL;SI;UC:2029-12-31
AD706TF;9360;"SERVICIO COMÚN";2019;25;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";30/12/2026;250150;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65134/2016;;0056/16;;;164;8BBC59B1AKM002836;AGRALE;"MT 15.0 LE Euro V";SI;JN:NACIONAL;SI;UC:2029-12-31
