dominio;interno;servicios;anioModelo;cantAsientos;empresaNro;cuit;razonSocial;vigenciaHastaInspeccionTecnica;tecnicaNro;tipoTecnica;categoriaAprob;CarroceriaMarca;CarroceriaModelo;expOrig;expModif;disposicion;tacografoMarca;tacografoNro;linea;chasisNro;chasisMarca;chasisModelo;accesibilidad;jurisdiccion;aireAcondicionado;vigenciaHasta
AA242LF;14;"SERVICIO COMÚN";2016;27;2023;30546343126;"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.";04/01/2027;299997;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";"LA FAVORITA";;68080/2016;;0098/16;;;92;9BM382189GB032290;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2026-12-31
AA242LG;53;"SERVICIO COMÚN";2016;27;2023;30546343126;"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.";25/12/2026;251700;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";"LA FAVORITA";;68080/2016;;0098/16;;;92;9BM382189GB032625;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2026-12-31
AA242LH;25;"SERVICIO COMÚN";2016;27;2023;30546343126;"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.";02/01/2027;299869;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";"LA FAVORITA";;68080/2016;;0098/16;;;92;9BM382189GB033152;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2026-12-31
AA242MP;41;"SERVICIO COMÚN";2016;27;2023;30546343126;"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.";10/01/2027;321144;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";"LA FAVORITA";;68080/2016;;0098/16;;;92;9BM382189GB032204;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2026-12-31
AA482NS;64;"SERVICIO COMÚN";2016;25;2023;30546343126;"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.";18/09/2026;94219;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";METALPAR;;106272/2016;;0145/16;;;92;9BM382189GB031216;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2026-12-31
AA482NT;87;"SERVICIO COMÚN";2016;25;2023;30546343126;"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.";21/09/2026;94400;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";METALPAR;;106272/2016;;0145/16;;;92;9BM382189GB030327;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2026-12-31
AA482NU;39;"SERVICIO COMÚN";2016;25;2023;30546343126;"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.";24/02/2027;333091;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";METALPAR;;106272/2016;;0145/16;;;92;9BM382189GB030345;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2026-12-31
AA482NV;13;"SERVICIO COMÚN";2016;25;2023;30546343126;"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.";19/02/2027;332839;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";METALPAR;;106272/2016;;0145/16;;;92;9BM382189GB031095;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2026-12-31
AA482NW;47;"SERVICIO COMÚN";2016;25;2023;30546343126;"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.";24/02/2027;333095;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";METALPAR;;106272/2016;;0145/16;;;92;9BM382189GB030701;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2026-12-31
AA482NY;4;"SERVICIO COMÚN";2016;25;2023;30546343126;"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.";20/02/2027;332930;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";METALPAR;;106272/2016;;0145/16;;;92;9BM382189GB030505;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2026-12-31
AA482NZ;8;"SERVICIO COMÚN";2016;25;2023;30546343126;"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.";25/02/2027;333169;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";METALPAR;;106272/2016;;0145/16;;;92;9BM382189GB031650;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2026-12-31
