dominio;interno;servicios;anioModelo;cantAsientos;empresaNro;cuit;razonSocial;vigenciaHastaInspeccionTecnica;tecnicaNro;tipoTecnica;categoriaAprob;CarroceriaMarca;CarroceriaModelo;expOrig;expModif;disposicion;tacografoMarca;tacografoNro;linea;chasisNro;chasisMarca;chasisModelo;accesibilidad;jurisdiccion;aireAcondicionado;vigenciaHasta
AB190RR;111;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";20/11/2026;105836;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB038740;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB190RS;31;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";04/11/2026;97941;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB038971;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB190RT;100;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";04/12/2026;109654;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB039086;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB190RU;112;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";21/11/2026;105889;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB039104;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB190RV;44;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";05/11/2026;105490;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB038160;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB190RW;96;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";21/11/2026;105868;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB037924;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB190RX;41;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";21/11/2026;105881;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB038980;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB263OI;127;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";19/11/2026;105813;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB039095;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB263OJ;82;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";13/11/2026;105687;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB038902;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB263OK;29;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";14/11/2026;105726;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB039955;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB263OL;39;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";15/11/2026;105745;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB039963;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB263OM;76;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";25/12/2026;110085;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB038410;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB263ON;119;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";18/11/2026;105794;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB039975;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB263OO;1;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";21/11/2026;105877;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB037942;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB263OP;67;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";16/11/2026;105763;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB038550;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB263OQ;83;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";24/12/2026;110058;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB037846;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB263OR;101;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";08/12/2026;109726;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB038973;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB263OS;53;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";21/11/2026;105874;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB038346;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB263OT;63;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";19/11/2026;105810;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB039073;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB263OX;40;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";13/11/2026;105688;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB039274;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB263OY;226;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";18/11/2026;105780;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB040540;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB455BN;228;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";16/12/2026;109892;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB039557;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB455BO;206;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";16/12/2026;109886;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB044303;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB455BP;130;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";16/12/2026;109905;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB044117;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB455BQ;209;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";10/12/2026;109772;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB044399;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB455BR;110;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";12/06/2026;684722;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB044391;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB455BU;204;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";08/01/2027;110375;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB042780;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB507JD;74;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";14/01/2027;110473;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB039288;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB507JE;22;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";03/02/2027;322045;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB039442;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB507JF;250;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";29/01/2027;321944;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB040556;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB507JG;241;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";13/01/2027;110439;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB037092;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB507JI;211;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";12/02/2027;322286;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB044272;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB536SL;208;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";28/01/2027;321900;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB042786;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB536SM;13;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";08/01/2027;110364;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB039423;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
AB536SN;89;"SERVICIO COMÚN";2017;27;2100;30522762179;"MICRO OMNIBUS QUILMES S.A.C.I.F.";01/01/2027;110207;CENT;"URBANO PISO BAJO MOV RED";METALPAR;;2667/2017;;0007/17;;;159;9BM382189HB039465;"MERCEDES BENZ";"O 500 U 1826/59";SI;JN:NACIONAL;SI;UC:2027-12-31
