dominio;interno;servicios;anioModelo;cantAsientos;empresaNro;cuit;razonSocial;vigenciaHastaInspeccionTecnica;tecnicaNro;tipoTecnica;categoriaAprob;CarroceriaMarca;CarroceriaModelo;expOrig;expModif;disposicion;tacografoMarca;tacografoNro;linea;chasisNro;chasisMarca;chasisModelo;accesibilidad;jurisdiccion;aireAcondicionado;vigenciaHasta
AA114TB;37;"SERVICIO COMÚN";2016;28;2067;30546366150;"4 DE SEPTIEMBRE S.A.T.C.P.";28/02/2027;335782;CENT;"URBANO COMÚN CON AIRE";METALPAR;;51153/2015;;041/15;;;37;8BBC67B1AGM000739;AGRALE;"MT 17.0 LE";SI;JN:NACIONAL;SI;UC:2026-12-31
AC339CR;45;"SERVICIO COMÚN";2018;25;2067;30546366150;"4 DE SEPTIEMBRE S.A.T.C.P.";06/02/2027;326677;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";ITALBUS;;50239/2016;;0048/16;;;37;8AB368187JA147282;"MERCEDES BENZ";"OH 1721 L-SB/62";SI;JN:NACIONAL;SI;UC:2028-12-31
AC515LT;40;"SERVICIO COMÚN";2018;25;2067;30546366150;"4 DE SEPTIEMBRE S.A.T.C.P.";01/03/2027;337328;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";ITALBUS;;50239/2016;;0048/16;;;37;8AB368187JA146922;"MERCEDES BENZ";"OH 1721 L-SB/62";SI;JN:NACIONAL;SI;UC:2028-12-31
AC515LW;69;"SERVICIO COMÚN";2018;25;2067;30546366150;"4 DE SEPTIEMBRE S.A.T.C.P.";03/03/2027;337421;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";ITALBUS;;50239/2016;;0048/16;;;37;8AB368187JA146911;"MERCEDES BENZ";"OH 1721 L-SB/62";SI;JN:NACIONAL;SI;UC:2028-12-31
AC567QI;74;"SERVICIO COMÚN";2018;25;2067;30546366150;"4 DE SEPTIEMBRE S.A.T.C.P.";14/10/2026;96689;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";ITALBUS;;50239/2016;;0048/16;;;37;8AB368187JA147110;"MERCEDES BENZ";"OH 1721 L-SB/62";SI;JN:NACIONAL;SI;UC:2028-12-31
AC670HE;12;"SERVICIO COMÚN";2018;25;2067;30546366150;"4 DE SEPTIEMBRE S.A.T.C.P.";02/03/2027;337367;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";ITALBUS;;50239/2016;;0048/16;"NO APLICA";;37;8AB368187JA147098;"MERCEDES BENZ";"OH 1721 L-SB/62";SI;JN:NACIONAL;SI;UC:2028-12-31
AC670HF;6;"SERVICIO COMÚN";2018;25;2067;30546366150;"4 DE SEPTIEMBRE S.A.T.C.P.";07/10/2026;96488;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";ITALBUS;;50239/2016;;0048/16;;;37;8AB368187HA146895;"MERCEDES BENZ";"OH 1721 L-SB/62";SI;JN:NACIONAL;SI;UC:2028-12-31
AC670HJ;36;"SERVICIO COMÚN";2018;25;2067;30546366150;"4 DE SEPTIEMBRE S.A.T.C.P.";23/09/2026;96219;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";ITALBUS;;50239/2016;;0048/16;;;37;8AB368187HA146896;"MERCEDES BENZ";"OH 1721 L-SB/62";SI;JN:NACIONAL;SI;UC:2028-12-31
AD573LK;5;"SERVICIO COMÚN";2019;25;2067;30546366150;"4 DE SEPTIEMBRE S.A.T.C.P.";11/09/2026;59080;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";ITALBUS;;50239/2016;;0048/16;;;37;8ab368187KA149317;"MERCEDES BENZ";"OH 1721 L-SB/62";SI;JN:NACIONAL;SI;UC:2029-12-31
AD573LL;27;"SERVICIO COMÚN";2019;25;2067;30546366150;"4 DE SEPTIEMBRE S.A.T.C.P.";20/09/2026;59317;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";ITALBUS;;50239/2016;;0048/16;;;37;8AB368187KA149348;"MERCEDES BENZ";"OH 1721 L-SB/62";SI;JN:NACIONAL;SI;UC:2029-12-31
AD573LM;41;"SERVICIO COMÚN";2019;25;2067;30546366150;"4 DE SEPTIEMBRE S.A.T.C.P.";12/09/2026;59107;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";ITALBUS;;50239/2016;;0048/16;;;37;8AB368187KA149316;"MERCEDES BENZ";"OH 1721 L-SB/62";SI;JN:NACIONAL;SI;UC:2029-12-31
AD573LS;31;"SERVICIO COMÚN";2019;25;2067;30546366150;"4 DE SEPTIEMBRE S.A.T.C.P.";18/09/2026;59282;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";ITALBUS;;50239/2016;;0048/16;;;37;8AB368187KA149345;"MERCEDES BENZ";"OH 1721 L-SB/62";SI;JN:NACIONAL;SI;UC:2029-12-31
AD573LU;1;"SERVICIO COMÚN";2019;25;2067;30546366150;"4 DE SEPTIEMBRE S.A.T.C.P.";07/10/2026;96479;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";ITALBUS;;50239/2016;;0048/16;;;37;8AB368187KA149344;"MERCEDES BENZ";"OH 1721 L-SB/62";SI;JN:NACIONAL;SI;UC:2029-12-31
AD573LV;29;"SERVICIO COMÚN";2019;25;2067;30546366150;"4 DE SEPTIEMBRE S.A.T.C.P.";30/09/2026;96333;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";ITALBUS;;50239/2016;;0048/16;;;37;8AB368187KA149347;"MERCEDES BENZ";"OH 1721 L-SB/62";SI;JN:NACIONAL;SI;UC:2029-12-31
AE094OR;78;"SERVICIO COMÚN";2020;25;2067;30546366150;"4 DE SEPTIEMBRE S.A.T.C.P.";30/01/2027;326530;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";ITALBUS;;50239/2016;;0048/16;;;37;8AB368187LA149827;"MERCEDES BENZ";"OH 1721 L-SB/62";SI;JN:NACIONAL;SI;UC:2030-12-31
AE094OS;59;"SERVICIO COMÚN";2020;25;2067;30546366150;"4 DE SEPTIEMBRE S.A.T.C.P.";29/12/2026;251919;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";ITALBUS;;50239/2016;;0048/16;;;37;8AB368187LA149730;"MERCEDES BENZ";"OH 1721 L-SB/62";SI;JN:NACIONAL;SI;UC:2030-12-31
AE094OU;68;"SERVICIO COMÚN";2020;25;2067;30546366150;"4 DE SEPTIEMBRE S.A.T.C.P.";30/12/2026;251958;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";ITALBUS;;50239/2016;;0048/16;;;37;8AB368187LA149839;"MERCEDES BENZ";"OH 1721 L-SB/62";SI;JN:NACIONAL;SI;UC:2030-12-31
AE094OV;73;"SERVICIO COMÚN";2020;25;2067;30546366150;"4 DE SEPTIEMBRE S.A.T.C.P.";14/01/2027;321540;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";ITALBUS;;50239/2016;;0048/16;;;37;8AB368187LA149838;"MERCEDES BENZ";"OH 1721 L-SB/62";SI;JN:NACIONAL;SI;UC:2030-12-31
AE167HN;48;"SERVICIO COMÚN";2020;25;2067;30546366150;"4 DE SEPTIEMBRE S.A.T.C.P.";20/01/2027;324868;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";ITALBUS;;50239/2016;;0048/16;;;37;8AB368187LA149829;"MERCEDES BENZ";"OH 1721 L-SB/62";SI;JN:NACIONAL;SI;UC:2030-12-31
AE167HO;50;"SERVICIO COMÚN";2020;25;2067;30546366150;"4 DE SEPTIEMBRE S.A.T.C.P.";27/01/2027;325031;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";ITALBUS;;50239/2016;;0048/16;;;37;8AB368187LA149828;"MERCEDES BENZ";"OH 1721 L-SB/62";SI;JN:NACIONAL;SI;UC:2030-12-31
