fecha,dominio,interno,linea
2026-01-20 00:00:00,AF341GX,618,179
2026-01-20 00:00:00,AF341GY,620,179
2026-01-20 00:00:00,AF802AT,619,179
2026-03-20 00:00:00,AF341GV,628,179
2026-03-20 00:00:00,AF533MX,635,179
2026-03-20 00:00:00,AF802AY,625,179
2026-05-12 00:00:00,AA203BE,626,179
2026-05-12 00:00:00,AE992PD,637,179
2026-05-12 00:00:00,AF839YM,623,179
2026-07-08 00:00:00,AE952GU,636,179
2026-07-08 00:00:00,AF383ZA,632,179
2026-07-08 00:00:00,PMI878,640,179
2026-08-26 00:00:00,AF839YA,617,179
2026-08-26 00:00:00,AF839YN,601,179
2026-08-26 00:00:00,PMI871,633,179
nan,NAN,nan,nan
