linea,fecha,dominio,interno
37,02/09/2026,LVL054,10.0
37,19/01/2026,AE893HK,11.0
37,19/03/2026,AC670HE,12.0
37,02/09/2026,NRW832,13.0
37,13/07/2026,AE877ZV,18.0
37,02/09/2026,NIB143,20.0
37,14/05/2026,AI076ZF,22.0
37,14/05/2026,AF620DS,23.0
37,14/05/2026,AH136GT,26.0
37,19/03/2026,AD573LV,29.0
37,14/05/2026,AG186EC,3.0
37,13/07/2026,LVL059,30.0
37,19/01/2026,AD573LS,31.0
37,19/01/2026,AG851VC,32.0
37,19/03/2026,AE893HL,33.0
37,19/01/2026,AH136GG,35.0
37,02/09/2026,NVX510,38.0
37,19/03/2026,NIX707,39.0
37,13/07/2026,NIB145,4.0
37,19/03/2026,AD573LM,41.0
37,14/05/2026,AG186EB,42.0
37,19/01/2026,AG835QV,46.0
37,19/03/2026,AE167HO,50.0
37,19/01/2026,AG835QJ,51.0
37,13/07/2026,OYK655,53.0
37,13/07/2026,NIB146,58.0
37,13/07/2026,AC670HF,6.0
37,02/09/2026,AE386NF,60.0
37,02/09/2026,MXJ331,62.0
37,02/09/2026,NBR491,63.0
37,14/05/2026,AI076ZZ,64.0
37,19/01/2026,AH164TI,66.0
37,13/07/2026,OYK654,67.0
37,19/03/2026,AC515LW,69.0
37,14/05/2026,AI076ZG,70.0
37,19/01/2026,AF835RV,72.0
37,19/01/2026,AE951VO,75.0
37,02/09/2026,AF372UC,76.0
37,14/05/2026,AI076ZE,77.0
37,19/03/2026,AE094OR,78.0
37,13/07/2026,AE334RN,8.0
37,19/01/2026,AG851VE,80.0
37,14/05/2026,AI076ZY,9.0
,,NAN,
