linea,fecha,dominio,interno
148,28/01/2026,PMW750,145.0
148,28/01/2026,OGT744,172.0
148,28/01/2026,PMW766,182.0
148,28/01/2026,NWP641,2.0
148,28/01/2026,AB990GS,20.0
148,28/01/2026,AB586ND,200.0
148,24/06/2026,NMG254,301.0
148,26/05/2026,OUB873,308.0
148,26/05/2026,OUB877,309.0
148,26/05/2026,MCF986,317.0
148,24/06/2026,AA945HF,329.0
148,24/06/2026,AF196AD,336.0
148,03/08/2026,AF961QY,348.0
148,28/01/2026,OKE142,35.0
148,24/06/2026,AF961TA,351.0
148,26/05/2026,AF961TH,357.0
148,26/05/2026,AF961VL,361.0
148,28/01/2026,AB990GT,38.0
148,03/08/2026,AB042BM,389.0
148,24/06/2026,AI282FQ,400.0
148,24/06/2026,AI282FY,401.0
148,24/06/2026,AI282FW,402.0
148,24/06/2026,AI282FX,403.0
148,26/05/2026,AI282FV,404.0
148,26/05/2026,AI282FR,405.0
148,26/05/2026,AI282FU,406.0
148,26/05/2026,AI282FT,407.0
148,03/08/2026,AI282FZ,409.0
148,26/05/2026,AI282GG,410.0
148,26/05/2026,AI282GE,411.0
148,24/06/2026,AI282GJ,413.0
148,03/08/2026,AI282GP,414.0
148,24/06/2026,AI282GN,415.0
148,03/08/2026,AI282GM,416.0
148,24/06/2026,AI282GI,417.0
148,24/06/2026,AI282GK,418.0
148,03/08/2026,AI282GO,419.0
