linea,fecha,dominio,interno
180,2026-01-08 00:00:00,AG483HV,137
180,2026-01-08 00:00:00,AG547MX,59
180,2026-01-08 00:00:00,AH259GT,6
180,2026-01-08 00:00:00,AH380CI,10
180,2026-01-08 00:00:00,AH380CJ,11
180,2026-01-08 00:00:00,AH460DB,19
180,2026-01-08 00:00:00,AH460DE,21
180,2026-01-08 00:00:00,AH460DI,15
180,2026-01-08 00:00:00,AH460EW,26
180,2026-01-08 00:00:00,AH540KH,124
180,2026-01-08 00:00:00,AH612DX,123
180,2026-01-08 00:00:00,AH650WZ,128
180,2026-03-10 00:00:00,AG601LB,116
180,2026-03-10 00:00:00,AH460EX,25
180,2026-03-10 00:00:00,AH460EZ,30
180,2026-03-10 00:00:00,AH650WX,140
180,2026-03-10 00:00:00,AH650WY,129
180,2026-03-10 00:00:00,AI000GT,35
180,2026-03-10 00:00:00,AI000GU,38
180,2026-03-10 00:00:00,AI000GZ,39
180,2026-03-10 00:00:00,AI000HB,46
180,2026-03-10 00:00:00,AI000HC,43
180,2026-03-10 00:00:00,AI000HE,37
180,2026-03-10 00:00:00,AI000HJ,34
180,2026-05-04 00:00:00,AI000HG,36
180,2026-05-04 00:00:00,AI000JJ,62
180,2026-05-04 00:00:00,AI000JK,52
180,2026-05-04 00:00:00,AI000JL,60
180,2026-05-04 00:00:00,AI000JM,47
180,2026-05-04 00:00:00,AI000JQ,56
180,2026-05-04 00:00:00,AI000JR,55
180,2026-05-04 00:00:00,AI000JV,63
180,2026-05-04 00:00:00,AI000JW,57
180,2026-05-04 00:00:00,AI024BB,51
180,2026-05-04 00:00:00,AI024BC,48
180,2026-05-04 00:00:00,AI024DI,77
180,2026-06-29 00:00:00,AH259GS,7
180,2026-06-29 00:00:00,AH540KD,126
180,2026-06-29 00:00:00,AH540KE,31
180,2026-06-29 00:00:00,AH650WW,127
180,2026-06-29 00:00:00,AI000JY,49
180,2026-06-29 00:00:00,AI024DW,81
180,2026-06-29 00:00:00,AI024DX,80
180,2026-06-29 00:00:00,AI024EK,90
180,2026-06-29 00:00:00,AI234SB,121
180,2026-06-29 00:00:00,AI234SF,92
180,2026-06-29 00:00:00,AI234SG,99
180,2026-06-29 00:00:00,AI234SH,94
180,2026-08-13 00:00:00,AH540KG,125
180,2026-08-13 00:00:00,AH650XD,131
180,2026-08-13 00:00:00,AI000GV,40
180,2026-08-13 00:00:00,AI000GY,41
180,2026-08-13 00:00:00,AI000JX,54
180,2026-08-13 00:00:00,AI024BH,61
180,2026-08-13 00:00:00,AI024DV,79
180,2026-08-13 00:00:00,AI024DY,83
180,2026-08-13 00:00:00,AI024EA,84
180,2026-08-13 00:00:00,AI024EJ,91
180,2026-08-13 00:00:00,AI024EM,86
180,2026-01-08 00:00:00,AH259GT,6.0
180,2026-06-29 00:00:00,AH259GS,7.0
180,2026-01-08 00:00:00,AH380CI,10.0
180,2026-01-08 00:00:00,AH380CJ,11.0
180,2026-01-08 00:00:00,AH460DI,15.0
180,2026-01-08 00:00:00,AH460DB,19.0
180,2026-01-08 00:00:00,AH460DE,21.0
180,2026-03-10 00:00:00,AH460EX,25.0
180,2026-01-08 00:00:00,AH460EW,26.0
180,2026-03-10 00:00:00,AH460EZ,30.0
180,2026-06-29 00:00:00,AH540KE,31.0
180,2026-03-10 00:00:00,AI000HJ,34.0
180,2026-03-10 00:00:00,AI000GT,35.0
180,2026-05-04 00:00:00,AI000HG,36.0
180,2026-03-10 00:00:00,AI000HE,37.0
180,2026-03-10 00:00:00,AI000GU,38.0
180,2026-03-10 00:00:00,AI000GZ,39.0
180,2026-08-13 00:00:00,AI000GV,40.0
180,2026-08-13 00:00:00,AI000GY,41.0
180,2026-03-10 00:00:00,AI000HC,43.0
180,2026-03-10 00:00:00,AI000HB,46.0
180,2026-05-04 00:00:00,AI000JM,47.0
180,2026-05-04 00:00:00,AI024BC,48.0
180,2026-06-29 00:00:00,AI000JY,49.0
180,2026-05-04 00:00:00,AI024BB,51.0
180,2026-05-04 00:00:00,AI000JK,52.0
180,2026-08-13 00:00:00,AI000JX,54.0
180,2026-05-04 00:00:00,AI000JR,55.0
180,2026-05-04 00:00:00,AI000JQ,56.0
180,2026-05-04 00:00:00,AI000JW,57.0
180,2026-01-08 00:00:00,AG547MX,59.0
180,2026-05-04 00:00:00,AI000JL,60.0
180,2026-08-13 00:00:00,AI024BH,61.0
180,2026-05-04 00:00:00,AI000JJ,62.0
180,2026-05-04 00:00:00,AI000JV,63.0
180,2026-05-04 00:00:00,AI024DI,77.0
180,2026-08-13 00:00:00,AI024DV,79.0
180,2026-06-29 00:00:00,AI024DX,80.0
180,2026-06-29 00:00:00,AI024DW,81.0
180,2026-08-13 00:00:00,AI024DY,83.0
180,2026-08-13 00:00:00,AI024EA,84.0
180,2026-08-13 00:00:00,AI024EM,86.0
180,2026-06-29 00:00:00,AI024EK,90.0
180,2026-08-13 00:00:00,AI024EJ,91.0
180,2026-06-29 00:00:00,AI234SF,92.0
180,2026-06-29 00:00:00,AI234SH,94.0
180,2026-06-29 00:00:00,AI234SG,99.0
180,2026-03-10 00:00:00,AG601LB,116.0
180,2026-06-29 00:00:00,AI234SB,121.0
180,2026-01-08 00:00:00,AH612DX,123.0
180,2026-01-08 00:00:00,AH540KH,124.0
180,2026-08-13 00:00:00,AH540KG,125.0
180,2026-06-29 00:00:00,AH540KD,126.0
180,2026-06-29 00:00:00,AH650WW,127.0
180,2026-01-08 00:00:00,AH650WZ,128.0
180,2026-03-10 00:00:00,AH650WY,129.0
180,2026-08-13 00:00:00,AH650XD,131.0
180,2026-01-08 00:00:00,AG483HV,137.0
180,2026-03-10 00:00:00,AH650WX,140.0
