linea,fecha,dominio,interno
91,2026-02-24 00:00:00,AC829ZO,546
91,2026-02-24 00:00:00,AC830AP,501
91,2026-02-24 00:00:00,AD184LQ,549
91,2026-02-24 00:00:00,AD184MM,552
91,2026-04-16 00:00:00,AA137FF,534
91,2026-04-16 00:00:00,AC966VO,551
91,2026-04-16 00:00:00,AD184MV,544
91,2026-04-16 00:00:00,AD184MX,547
91,2026-06-02 00:00:00,AD463UD,531
91,2026-06-02 00:00:00,AD558VY,504
91,2026-06-02 00:00:00,AD584PI,508
91,2026-06-02 00:00:00,AD947YR,509
91,2026-07-22 00:00:00,AB799DM,527
91,2026-07-22 00:00:00,AC167MM,502
91,2026-07-22 00:00:00,AD184LB,523
91,2026-07-22 00:00:00,AD388NW,520
91,2026-07-22 00:00:00,AD558VX,506
nan,,NAN,nan
91,2026-02-24 00:00:00,AC830AP,501.0
91,2026-07-22 00:00:00,AC167MM,502.0
91,2026-06-02 00:00:00,AD558VY,504.0
91,2026-07-22 00:00:00,AD558VX,506.0
91,2026-06-02 00:00:00,AD584PI,508.0
91,2026-06-02 00:00:00,AD947YR,509.0
91,2026-07-22 00:00:00,AD388NW,520.0
91,2026-07-22 00:00:00,AD184LB,523.0
91,2026-07-22 00:00:00,AB799DM,527.0
91,2026-06-02 00:00:00,AD463UD,531.0
91,2026-04-16 00:00:00,AA137FF,534.0
91,2026-04-16 00:00:00,AD184MV,544.0
91,2026-02-24 00:00:00,AC829ZO,546.0
91,2026-04-16 00:00:00,AD184MX,547.0
91,2026-02-24 00:00:00,AD184LQ,549.0
91,2026-04-16 00:00:00,AC966VO,551.0
91,2026-02-24 00:00:00,AD184MM,552.0
