linea,fecha,dominio,interno
119,2026-07-08 00:00:00,AD830HS,703.0
119,2026-01-20 00:00:00,AD830HR,708.0
119,2026-05-12 00:00:00,AD830HY,709.0
119,2026-08-26 00:00:00,AD846WJ,711.0
119,2026-03-20 00:00:00,AD830HQ,712.0
119,2026-08-26 00:00:00,AD846WE,714.0
119,2026-03-20 00:00:00,AD846WG,717.0
119,2026-08-26 00:00:00,AD846WF,718.0
119,2026-01-20 00:00:00,AD846WK,720.0
119,2026-07-08 00:00:00,AD830HX,722.0
119,2026-05-12 00:00:00,AH229IP,723.0
119,2026-03-20 00:00:00,AH136GM,724.0
119,2026-01-20 00:00:00,AH136GF,725.0
119,2026-05-12 00:00:00,AH136GL,726.0
119,2026-07-08 00:00:00,AH136GE,727.0
