linea,fecha,dominio,interno
32,22/06/2026,AE624YN,8501.0
32,21/01/2026,AE624YE,8502.0
32,31/07/2026,AD096BX,8504.0
32,03/03/2026,AA681ED,8506.0
32,22/06/2026,AA894KD,8507.0
32,29/04/2026,AA681EA,8508.0
32,21/01/2026,AE046JN,8510.0
32,29/04/2026,AA681DZ,8511.0
32,03/03/2026,AE046JP,8514.0
32,03/03/2026,AC925SJ,8515.0
32,29/04/2026,AC167MJ,8516.0
32,29/04/2026,AC167MK,8517.0
32,21/01/2026,AD490XE,8518.0
32,22/06/2026,AE149KG,8519.0
32,03/03/2026,AA836QY,8520.0
32,21/01/2026,AB379WT,8521.0
32,29/04/2026,AC830AH,8522.0
32,22/06/2026,AC167MI,8523.0
32,31/07/2026,AF395WL,8524.0
32,31/07/2026,AF395WJ,8525.0
32,03/03/2026,AE512LC,8728.0
