linea,fecha,dominio,interno
168,20/05/2026,PAF322,3005.0
168,20/05/2026,PAF320,3006.0
168,11/03/2026,PJL802,3010.0
168,11/03/2026,PJL800,3011.0
168,05/01/2026,PEI883,3018.0
168,05/01/2026,PEI884,3021.0
168,20/05/2026,PJL797,3023.0
168,20/05/2026,PJL799,3024.0
168,05/01/2026,PJL798,3026.0
168,05/01/2026,PMM744,3027.0
168,20/05/2026,PKD901,3031.0
168,05/01/2026,AA195PL,3033.0
168,05/01/2026,AG854NA,3034.0
168,05/01/2026,AG653MR,3036.0
168,12/08/2026,AG854NC,3037.0
168,20/05/2026,AG653MP,3040.0
168,05/01/2026,AG653MO,3041.0
168,20/05/2026,AA556KN,3047.0
168,12/08/2026,PIK936,3049.0
168,11/03/2026,PGL371,3057.0
168,12/08/2026,AC029ZV,3059.0
168,11/03/2026,AC496KT,3061.0
168,12/08/2026,AH414ÑK,3062.0
168,12/08/2026,AH414LJ,3063.0
168,12/08/2026,PBU948,3065.0
168,20/05/2026,AB380NH,3066.0
168,11/03/2026,PGX174,3072.0
168,12/08/2026,AA894KL,3075.0
168,12/08/2026,AH496VA,3076.0
168,11/03/2026,PFD593,3086.0
168,11/03/2026,PON399,3088.0
168,11/03/2026,PON395,3090.0
