linea,fecha,dominio,interno
45,2026-08-26 00:00:00,AG557HS,1.0
45,2026-07-08 00:00:00,AF445BW,2.0
45,2026-03-20 00:00:00,AG702ED,7.0
45,2026-08-26 00:00:00,AF247PH,8.0
45,2026-01-20 00:00:00,AH229ID,10.0
45,2026-01-20 00:00:00,AG702EH,12.0
45,2026-07-08 00:00:00,AD372ID,18.0
45,2026-01-20 00:00:00,AG702EG,27.0
45,2026-05-12 00:00:00,AD674OP,29.0
45,2026-03-20 00:00:00,AG822VL,32.0
45,2026-01-20 00:00:00,AE094ND,38.0
45,2026-05-12 00:00:00,AE835VI,39.0
45,2026-03-20 00:00:00,AG822WB,42.0
45,2026-08-26 00:00:00,AI275DW,45.0
45,2026-05-12 00:00:00,AF247PK,46.0
45,2026-07-08 00:00:00,AF445CG,55.0
45,2026-03-20 00:00:00,AF445CF,56.0
45,2026-07-08 00:00:00,AE567QC,62.0
45,2026-07-08 00:00:00,AD295IC,65.0
45,2026-08-26 00:00:00,AE567QG,66.0
45,2026-08-26 00:00:00,AD295LL,67.0
45,2026-05-12 00:00:00,AE567QF,79.0
