linea,fecha,dominio,interno
53,09/01/2026,AH873SS,1.0
53,08/05/2026,AH027YH,10.0
53,28/08/2026,AI085QY,103.0
53,06/03/2026,AF454QQ,105.0
53,06/03/2026,AE374KM,106.0
53,06/03/2026,AI064OT,12.0
53,09/01/2026,AH764RE,13.0
53,06/07/2026,AG209SR,20.0
53,09/01/2026,AH734KA,21.0
53,06/07/2026,AI085QZ,22.0
53,06/03/2026,AG209SY,23.0
53,28/08/2026,AE618TV,24.0
53,06/03/2026,AG271ZT,25.0
53,08/05/2026,AH764QB,27.0
53,28/08/2026,AE618TQ,28.0
53,28/08/2026,AE618TU,3.0
53,08/05/2026,AH764QA,31.0
53,09/01/2026,AE618TR,32.0
53,09/01/2026,AG271ZS,34.0
53,08/05/2026,AG271ZW,35.0
53,28/08/2026,AF158XG,36.0
53,06/03/2026,AF158XP,37.0
53,08/05/2026,AF158XE,39.0
53,06/03/2026,AH764RA,43.0
53,09/01/2026,AH734MY,44.0
53,28/08/2026,AF158XO,46.0
53,06/07/2026,AF158XF,49.0
53,28/08/2026,AE721DN,5.0
53,06/03/2026,AE424YD,50.0
53,09/01/2026,AF454QI,54.0
53,28/08/2026,AE374KN,55.0
53,06/07/2026,AG137XW,57.0
53,09/01/2026,AE721DM,6.0
53,06/03/2026,AE132CD,60.0
53,28/08/2026,AG185BD,63.0
53,06/07/2026,AG185BC,64.0
53,08/05/2026,AE618UA,67.0
53,06/07/2026,AE096UY,69.0
53,08/05/2026,AE618TP,7.0
53,06/07/2026,AE096UZ,70.0
53,28/08/2026,AI085NE,71.0
53,06/07/2026,AI064PG,79.0
53,06/07/2026,AF454QM,82.0
53,06/03/2026,AF444LE,83.0
53,08/05/2026,AE618UF,84.0
53,08/05/2026,AE618UV,85.0
53,08/05/2026,AF444LD,88.0
53,06/03/2026,AH027YD,9.0
53,09/01/2026,AF454QK,92.0
53,09/01/2026,AG185BF,93.0
53,06/07/2026,AE618UT,96.0
53,09/01/2026,AG137XX,99.0
,,NAN,
