linea,fecha,dominio,interno
51,2026-05-29 00:00:00,AI045QZ,5006.0
51,2026-09-16 00:00:00,AI058QZ,5006.0
51,2026-05-29 00:00:00,AI058QY,5007.0
51,2026-09-16 00:00:00,AE998PL,5010.0
51,2026-02-06 00:00:00,AF551LZ,5017.0
51,2026-05-29 00:00:00,AF639EZ,5023.0
51,2026-05-29 00:00:00,AH642KA,5028.0
51,2026-09-17 00:00:00,AH642KB,5033.0
51,2026-02-06 00:00:00,AE763ON,5044.0
51,2026-05-29 00:00:00,AH642JZ,5045.0
51,2026-04-08 00:00:00,AG191XX,5060.0
51,2026-04-08 00:00:00,AF577DB,5066.0
51,2026-05-29 00:00:00,AG947BH,5070.0
51,2026-09-16 00:00:00,AF603TW,5072.0
51,2026-02-06 00:00:00,AE590IT,5075.0
51,2026-09-16 00:00:00,AF928IB,5082.0
51,2026-09-16 00:00:00,AF928IG,5083.0
51,2026-02-06 00:00:00,AA475VB,5085.0
