linea,fecha,dominio,interno
92,04/08/2026,AF037ZC,1.0
92,09/06/2026,AA482NV,13.0
92,13/04/2026,OJH854,19.0
92,07/01/2026,AE483HH,2.0
92,09/06/2026,AH076JX,21.0
92,04/08/2026,AD815HR,24.0
92,07/01/2026,AD453JD,27.0
92,13/04/2026,AE445VZ,28.0
92,04/08/2026,PET558,32.0
92,07/01/2026,AF235QF,33.0
92,04/08/2026,OJH852,34.0
92,13/04/2026,AE599RQ,35.0
92,13/04/2026,AC434RP,36.0
92,13/04/2026,AE870CB,38.0
92,09/06/2026,AA242MP,41.0
92,13/04/2026,AD815HT,42.0
92,13/04/2026,AH122GO,43.0
92,07/01/2026,AA726KS,44.0
92,07/01/2026,AF756QR,45.0
92,09/06/2026,AD453JC,5.0
92,07/01/2026,AA726KR,50.0
92,13/04/2026,AE082HQ,51.0
92,07/01/2026,AA242LG,53.0
92,09/06/2026,AA726KQ,56.0
92,07/01/2026,AF005SD,57.0
92,04/08/2026,OJI003,6.0
92,09/06/2026,AE739JF,62.0
92,04/08/2026,AE739JG,63.0
92,09/06/2026,AA482NS,64.0
92,09/06/2026,AD672TS,65.0
92,04/08/2026,PET560,72.0
92,13/04/2026,AF447RH,74.0
92,04/08/2026,AF235QG,75.0
92,09/06/2026,PET559,79.0
92,04/08/2026,AA482NZ,8.0
92,04/08/2026,AH122GQ,84.0
92,07/01/2026,AH122GP,86.0
92,09/06/2026,AA482NT,87.0
92,07/01/2026,AD672TR,9.0
