linea,fecha,dominio,interno
98,29/01/2026,AG026FU,10.0
98,27/03/2026,PMP133,100.0
98,16/07/2026,AB017PZ,101.0
98,13/05/2026,AB283TI,103.0
98,29/01/2026,AF395WQ,112.0
98,16/07/2026,AH107PY,114.0
98,16/07/2026,AH107MW,115.0
98,27/03/2026,AG806IK,117.0
98,13/05/2026,PPW768,121.0
98,13/05/2026,PPW741,123.0
98,27/03/2026,OJH802,129.0
98,29/01/2026,AG708WN,13.0
98,13/05/2026,AC787FQ,130.0
98,13/05/2026,AG806IJ,132.0
98,29/01/2026,AG806IG,133.0
98,13/05/2026,AH107MX,137.0
98,16/07/2026,PPW775,138.0
98,16/07/2026,AH872SO,142.0
98,27/03/2026,AG806IL,144.0
98,16/07/2026,AH924PF,145.0
98,29/01/2026,AH872VH,148.0
98,27/03/2026,AB105RR,15.0
98,27/03/2026,OPB441,150.0
98,29/01/2026,AF481GB,152.0
98,16/07/2026,AG026FT,153.0
98,16/07/2026,AF672CK,154.0
98,16/07/2026,AH872SP,155.0
98,27/03/2026,AH663JV,159.0
98,13/05/2026,OPB443,161.0
98,16/07/2026,OPI964,165.0
98,29/01/2026,OJH807,166.0
98,13/05/2026,AH123PF,167.0
98,29/01/2026,OQX282,171.0
98,29/01/2026,OQX285,174.0
98,29/01/2026,AB283TJ,18.0
98,13/05/2026,AC736OZ,2.0
98,27/03/2026,AC736OR,22.0
98,27/03/2026,AF672CO,32.0
98,27/03/2026,AC736OY,39.0
98,27/03/2026,AG708WM,40.0
98,29/01/2026,AB267UI,43.0
98,29/01/2026,PPW771,44.0
98,13/05/2026,AC736OT,54.0
98,13/05/2026,AB283TV,60.0
98,29/01/2026,PPW776,61.0
98,27/03/2026,AB411OS,62.0
98,13/05/2026,AC736OU,63.0
98,16/07/2026,AC830AT,64.0
98,16/07/2026,PPW777,73.0
98,13/05/2026,AC736OX,76.0
98,29/01/2026,AF395WR,77.0
98,13/05/2026,POD383,78.0
98,16/07/2026,AC829ZH,79.0
98,27/03/2026,AB411OT,80.0
98,16/07/2026,POD387,91.0
98,27/03/2026,AG415WL,95.0
