DOMINIO;INTERNO;MODELO (AÑO);HABILITADO HASTA;TÉCNICA VIGENTE HASTA;N° TÉCNICA;EMPRESA NRO;RAZON SOCIAL;LINEA
AA446IH;9037;2017;UC: 2026-10-10;10/10/2026;114225;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AA914MZ;9024;2017;UC: 2025-02-13;07/02/2027;260681;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AA935NQ;9029;2017;UC: 2025-03-05;17/01/2027;259175;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AB340HE;9023;2017;UC: 2024-03-05;19/12/2026;255156;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AB340HF;9351;2017;UC: 2024-03-05;18/01/2027;323554;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AB340HH;9350;2017;UC: 2024-02-25;17/01/2027;301163;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AB340HO;9034;2017;UC: 2024-01-20;21/11/2026;122215;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AB933WS;9011;2018;UC: 2023-03-01;24/10/2026;115656;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AB933WU;9010;2018;UC: 2023-03-01;12/02/2027;418882;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AB984LE;9012;2018;UC: 2023-03-01;15/11/2026;119250;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AC064UQ;9359;2018;UC: 2026-09-09;28/02/2027;329303;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AC467NC;9065;2018;UC: 2023-02-24;09/12/2026;253151;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AC873VL;9031;2018;UC: 2024-09-05;16/12/2026;253249;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AC873WC;9016;2018;UC: 2028-12-31;05/02/2027;260645;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AC873WE;9014;2018;UC: 2028-12-31;06/02/2027;260672;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AC925SZ;9015;2018;UC: 2028-12-31;11/02/2027;418854;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AD096BC;9042;2018;UC: 2028-12-31;24/02/2027;419083;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AD096BD;9064;2018;UC: 2028-12-31;19/02/2027;419006;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AD198TR;9022;2019;UC: 2029-12-31;14/02/2027;418946;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AD255SL;9045;2019;UC: 2025-02-12;17/09/2026;63893;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AD255SM;9061;2019;UC: 2025-02-12;13/02/2027;418913;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AD463UN;9353;2019;UC: 2029-12-31;26/12/2026;250064;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AD463UR;9043;2019;UC: 2024-01-01;11/10/2026;114235;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AD463UW;9044;2019;UC: 2024-01-05;09/10/2026;67090;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AD463UY;9013;2019;UC: 2024-01-14;20/10/2026;114370;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AD558VL;9328;2019;UC: 2024-02-14;26/09/2026;95209;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AD706SX;9361;2019;UC: 2029-12-31;30/12/2026;250148;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AD706TF;9360;2019;UC: 2029-12-31;30/12/2026;250150;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AD882PA;9344;2019;UC: 2029-12-31;26/12/2026;250068;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AD947XC;9342;2019;UC: 2029-12-31;28/09/2026;95231;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AD947XD;9339;2019;UC: 2029-12-31;19/12/2026;249971;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AD947XE;9341;2019;UC: 2029-12-31;08/10/2026;99131;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AD947XG;9343;2019;UC: 2029-12-31;25/12/2026;250047;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AD947XK;9340;2019;UC: 2029-12-31;22/12/2026;249992;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AD947XY;9334;2019;UC: 2029-12-31;08/01/2027;301021;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AD947XZ;9336;2019;UC: 2029-12-31;25/12/2026;250051;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AD947YA;9335;2019;UC: 2029-12-31;09/12/2026;243112;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AD947YB;9337;2019;UC: 2029-12-31;10/01/2027;301043;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AD947YC;9338;2019;UC: 2029-12-31;13/12/2026;247004;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AD947YK;9329;2019;UC: 2029-12-31;01/01/2027;250159;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AD947YN;9330;2019;UC: 2029-12-31;24/12/2026;250026;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AD947YO;9333;2019;UC: 2029-12-31;08/11/2026;108261;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AD947YP;9331;2019;UC: 2029-12-31;02/01/2027;250173;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AD947YQ;9332;2019;UC: 2029-12-31;08/01/2027;301022;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AE046JJ;9364;2020;UC: 2026-12-17;18/12/2026;247047;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AE094JE;9322;2020;UC: 2030-12-31;11/02/2027;327988;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AE094JF;9326;2020;UC: 2030-12-31;29/01/2027;323738;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AE094JG;9319;2020;UC: 2030-12-31;23/01/2027;323638;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AE094JH;9321;2020;UC: 2030-12-31;18/02/2027;328070;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AE094JI;9320;2020;UC: 2030-12-31;27/01/2027;323695;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AE094JJ;9324;2020;UC: 2030-12-31;27/01/2027;323686;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AE094JK;9325;2020;UC: 2030-12-31;08/01/2027;301020;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AE094JL;9323;2020;UC: 2030-12-31;31/01/2027;323777;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AE094KL;9309;2020;UC: 2030-12-31;01/03/2027;329307;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AE094KM;9307;2020;UC: 2030-12-31;27/02/2027;328247;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AE094KN;9301;2020;UC: 2030-12-31;24/01/2027;323652;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AE094KO;9308;2020;UC: 2030-12-31;14/02/2027;327449;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AE094KP;9306;2020;UC: 2030-12-31;13/02/2027;327416;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AE094KQ;9304;2020;UC: 2030-12-31;24/01/2027;323654;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AE094KR;9305;2020;UC: 2030-12-31;27/01/2027;324513;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AE094KS;9303;2020;UC: 2030-12-31;31/01/2027;323769;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AE094KT;9302;2020;UC: 2030-12-31;24/01/2027;323648;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AE094KV;9318;2020;UC: 2030-12-31;12/09/2026;60088;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AE094KW;9316;2020;UC: 2030-12-31;28/02/2027;329291;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AE094KX;9314;2020;UC: 2030-12-31;05/02/2027;324789;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AE094KY;9315;2020;UC: 2030-12-31;24/02/2027;328177;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
AE094KZ;9317;2020;UC: 2030-12-31;28/02/2027;329296;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;164
