dominio,interno,servicios,anioModelo,cantAsientos,empresaNro,cuit,razonSocial,vigenciaHastaInspeccionTecnica,tecnicaNro,tipoTecnica,categoriaAprob,CarroceriaMarca,CarroceriaModelo,expOrig,expModif,disposicion,tacografoMarca,tacografoNro,linea,chasisNro,chasisMarca,chasisModelo,accesibilidad,jurisdiccion,aireAcondicionado,vigenciaHasta
AA190UM,234,SERVICIO COMÚN,2016,25,2003,30546339374,EMPRESA ANTARTIDA ARGENTINA S.A.T.,09/10/2026,113432,CENT,URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO,METALPAR,,42927/2016,,0045/16,,,95,8AB368185GA146068,MERCEDES BENZ,OH 1621 L-SB/55,SI,JN:NACIONAL,SI,UC:2026-12-31
AE535LZ,214,SERVICIO COMÚN,2021,26,2003,30546339374,EMPRESA ANTARTIDA ARGENTINA S.A.T.,06/10/2026,113378,CENT,URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO,AUTOBUS,,2019-111028056,,002/20,,,95,8AB368187MA150233,MERCEDES BENZ,OH 1721 L-SB/62,SI,JN:NACIONAL,SI,UC:2025-02-17
AE571FA,224,SERVICIO COMÚN,2021,26,2003,30546339374,EMPRESA ANTARTIDA ARGENTINA S.A.T.,01/03/2027,421808,CENT,URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO,AUTOBUS,,2019-111028056,,002/20,,,95,8AB368187MA150239,MERCEDES BENZ,OH 1721 L-SB/62,SI,JN:NACIONAL,SI,UC:2025-04-01
AE571FC,248,SERVICIO COMÚN,2021,26,2003,30546339374,EMPRESA ANTARTIDA ARGENTINA S.A.T.,30/09/2026,66633,CENT,URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO,AUTOBUS,,2019-111028056,,002/20,,,95,8AB368187MA150179,MERCEDES BENZ,OH 1721 L-SB/62,SI,JN:NACIONAL,SI,UC:2025-04-14
AE624OI,251,SERVICIO COMÚN,2021,26,2003,30546339374,EMPRESA ANTARTIDA ARGENTINA S.A.T.,07/10/2026,113393,CENT,URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO,AUTOBUS,,2019-111028056,,002/20,,,95,8AB368187MA150389,MERCEDES BENZ,OH 1721 L-SB/62,SI,JN:NACIONAL,SI,UC:2025-04-16
AE850CD,215,SERVICIO COMÚN,2021,27,2003,30546339374,EMPRESA ANTARTIDA ARGENTINA S.A.T.,24/10/2026,117052,CENT,URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO,LA FAVORITA,,68084/2016,,0068/16,,,95,8AB368187LA150008,MERCEDES BENZ,OH 1721 L-SB/62,SI,JN:NACIONAL,SI,UC:2031-12-31
AE881FZ,247,SERVICIO COMÚN,2021,26,2003,30546339374,EMPRESA ANTARTIDA ARGENTINA S.A.T.,01/10/2026,66647,CENT,URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO,AUTOBUS,,2019-111028056,,002/20,,,95,8AB368187MA150322,MERCEDES BENZ,OH 1721 L-SB/62,SI,JN:NACIONAL,SI,UC:2025-02-17
AE928MJ,253,SERVICIO COMÚN,2021,26,2003,30546339374,EMPRESA ANTARTIDA ARGENTINA S.A.T.,06/10/2026,113371,CENT,URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO,AUTOBUS,,2019-111028056,,002/20,,,95,8AB368187MA150587,MERCEDES BENZ,OH 1721 L-SB/62,SI,JN:NACIONAL,SI,UC:2025-04-16
AE964TU,208,SERVICIO COMÚN,2021,26,2003,30546339374,EMPRESA ANTARTIDA ARGENTINA S.A.T.,27/09/2026,66588,CENT,URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO,AUTOBUS,,2019-111028056,,002/20,,,95,8AB368187NA150722,MERCEDES BENZ,OH 1721 L-SB/62,SI,JN:NACIONAL,SI,UC:2025-04-14
AE964TW,238,SERVICIO COMÚN,2021,26,2003,30546339374,EMPRESA ANTARTIDA ARGENTINA S.A.T.,09/10/2026,113441,CENT,URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO,AUTOBUS,,2019-111028056,,002/20,,,95,8AB368187MA150649,MERCEDES BENZ,OH 1721 L-SB/62,SI,JN:NACIONAL,SI,UC:2025-04-01
