dominio;empresaNro;razonSocial;linea;interno;anioModelo;chasisMarca;carroceriaMarca;vigenciaHasta;vigenciaHastaInspeccionTecnica;tecnicaNro
AA132UA;2005;;24;;;;;;;
AA132UB;2005;;24;;;;;;;
AA132UH;2005;;24;;;;;;;
AA132UI;2005;;24;;;;;;;
AA166FN;2005;;24;;;;;;;
AA166FO;2005;;24;;;;;;;
AA229RI;2005;;24;;;;;;;
AA229RJ;2005;;24;;;;;;;
AA229RZ;2005;;24;;;;;;;
AA229SC;2005;;24;;;;;;;
AA229SE;2005;;24;;;;;;;
AA229SL;2005;;24;;;;;;;
AA366GD;2005;;24;;;;;;;
AA366GL;2005;;24;;;;;;;
AC453RI;2005;;24;;;;;;;
AC453RJ;2005;;24;;;;;;;
AC453RK;2005;;24;;;;;;;
AC453RL;2005;;24;;;;;;;
AC453RM;2005;;24;;;;;;;
AC453RN;2005;;24;;;;;;;
AC453RO;2005;;24;;;;;;;
AC453RP;2005;;24;;;;;;;
AC453RS;2005;;24;;;;;;;
AC453RU;2005;;24;;;;;;;
AC625QE;2005;;24;;;;;;;
AC625QF;2005;;24;;;;;;;
AC625QN;2005;;24;;;;;;;
AC625QO;2005;;24;;;;;;;
AC625RE;2005;;24;;;;;;;
AC625RF;2005;;24;;;;;;;
AC625RG;2005;;24;;;;;;;
AC625RH;2005;;24;;;;;;;
AC625RO;2005;;24;;;;;;;
AC676VR;2005;;24;;;;;;;
AD216XO;2005;;24;;;;;;;
AD216XU;2005;;24;;;;;;;
AD216XW;2005;;24;;;;;;;
AD216XX;2005;;24;;;;;;;
AD216XY;2005;;24;;;;;;;
AD280GK;2005;;24;;;;;;;
AD280GL;2005;;24;;;;;;;
AD973XL;2005;;24;;;;;;;
AD973XM;2005;;24;;;;;;;
AD973XN;2005;;24;;;;;;;
AD973XO;2005;;24;;;;;;;
AD973XQ;2005;;24;;;;;;;
AF231IQ;2005;;24;;;;;;;
AF231IR;2005;;24;;;;;;;
AF231IS;2005;;24;;;;;;;
AF231IY;2005;;24;;;;;;;
AF231IZ;2005;;24;;;;;;;
AF254IA;2005;;24;;;;;;;
AF254IB;2005;;24;;;;;;;
AF254IC;2005;;24;;;;;;;
AF254ID;2005;;24;;;;;;;
AF254IE;2005;;24;;;;;;;
AF261ZN;2005;;24;;;;;;;
AF261ZO;2005;;24;;;;;;;
AF261ZP;2005;;24;;;;;;;
AF261ZQ;2005;;24;;;;;;;
AF261ZU;2005;;24;;;;;;;
AF261ZW;2005;;24;;;;;;;
AG164GL;2005;;24;;;;;;;
AG164GM;2005;;24;;;;;;;
AG164GN;2005;;24;;;;;;;
AG236AU;2005;;24;;;;;;;
AG236AV;2005;;24;;;;;;;
AG236AW;2005;;24;;;;;;;
AG236AX;2005;;24;;;;;;;
AG236AY;2005;;24;;;;;;;
AG309TC;2005;;24;;;;;;;
AI278BS;2005;;24;;;;;;;
AI278BT;2005;;24;;;;;;;
AI278BU;2005;;24;;;;;;;
AI353JV;2005;;24;;;;;;;
AI353LI;2005;;24;;;;;;;
AI353LJ;2005;;24;;;;;;;
