dominio;empresaNro;razonSocial;linea;interno;anioModelo;chasisMarca;carroceriaMarca;vigenciaHasta;vigenciaHastaInspeccionTecnica;tecnicaNro
AA040AW;2022;LINEA 22 S.A.;22;324;2016;;;31/12/2026;11/12/2026;109818
AA040CR;2022;LINEA 22 S.A.;22;329;2016;;;31/12/2026;29/12/2026;110163
AA356KZ;2022;LINEA 22 S.A.;22;340;2016;;;11/10/2024;30/10/2026;97915
AA383LA;2022;LINEA 22 S.A.;22;317;2016;;;31/12/2026;08/12/2026;109722
AA383MV;2022;LINEA 22 S.A.;22;325;2016;;;24/11/2024;28/11/2026;106033
AA537ZZ;2022;LINEA 22 S.A.;22;366;2016;;;31/12/2026;16/12/2026;109909
AA556VB;2022;LINEA 22 S.A.;22;348;2016;;;08/02/2026;22/02/2027;322503
AA556VC;2022;LINEA 22 S.A.;22;301;2016;;;31/12/2026;10/12/2026;109787
AA556VE;2022;LINEA 22 S.A.;22;331;2016;;;31/12/2026;30/12/2026;110185
NWD144;2022;LINEA 22 S.A.;22;333;2014;;;31/12/2027;05/10/2026;109685
NWD145;2022;LINEA 22 S.A.;22;336;2014;;;31/12/2027;17/10/2026;109932
NWD146;2022;LINEA 22 S.A.;22;303;2014;;;31/12/2027;04/09/2026;105458
NWD147;2022;LINEA 22 S.A.;22;354;2014;;;31/12/2027;03/10/2026;109621
NWM383;2022;LINEA 22 S.A.;22;309;2014;;;23/10/2025;15/12/2026;322355
NWM384;2022;LINEA 22 S.A.;22;305;2014;;;23/10/2025;31/12/2026;336337
NWM386;2022;LINEA 22 S.A.;22;310;2014;;;24/10/2025;20/12/2026;322459
NWM387;2022;LINEA 22 S.A.;22;308;2014;;;23/10/2025;28/12/2026;336301
OGI355;2022;LINEA 22 S.A.;22;346;2014;;;31/12/2027;26/09/2026;105975
OHJ289;2022;LINEA 22 S.A.;22;321;2014;;;15/06/2025;02/10/2026;109596
OHJ290;2022;LINEA 22 S.A.;22;322;2014;;;20/06/2025;12/10/2026;109858
OHJ291;2022;LINEA 22 S.A.;22;323;2014;;;20/06/2025;18/10/2026;109958
OHJ292;2022;LINEA 22 S.A.;22;319;2014;;;15/06/2025;26/10/2026;110133
OIK754;2022;LINEA 22 S.A.;22;328;2014;;;20/06/2025;23/10/2026;110026
OIN012;2022;LINEA 22 S.A.;22;306;2014;;;31/12/2027;11/09/2026;105642
OIS834;2022;LINEA 22 S.A.;22;314;2014;;;31/12/2027;19/12/2026;322431
OJH809;2022;LINEA 22 S.A.;22;304;2014;;;19/09/2025;20/11/2026;321753
OKJ775;2022;LINEA 22 S.A.;22;320;2015;;;15/06/2025;04/10/2026;109648
OKJ776;2022;LINEA 22 S.A.;22;335;2015;;;20/06/2025;24/10/2026;110075
OKJ777;2022;LINEA 22 S.A.;22;326;2015;;;20/06/2025;23/10/2026;110024
OMX977;2022;LINEA 22 S.A.;22;350;2015;;;10/01/2026;29/09/2026;109516
OMX979;2022;LINEA 22 S.A.;22;337;2015;;;31/12/2028;25/10/2026;110104
OMX980;2022;LINEA 22 S.A.;22;334;2015;;;27/12/2025;30/10/2026;110186
ONV913;2022;LINEA 22 S.A.;22;332;2015;;;17/12/2025;17/10/2026;109931
ONV914;2022;LINEA 22 S.A.;22;344;2015;;;26/12/2025;29/10/2026;110160
ONV915;2022;LINEA 22 S.A.;22;327;2015;;;16/01/2026;15/09/2026;105752
OQZ445;2022;LINEA 22 S.A.;22;330;2015;;;04/01/2026;06/09/2026;105532
OTO687;2022;LINEA 22 S.A.;22;311;2015;;;17/12/2025;16/10/2026;109902
OVS433;2022;LINEA 22 S.A.;22;318;2015;;;31/12/2028;13/10/2026;109868
OVS434;2022;LINEA 22 S.A.;22;316;2015;;;24/01/2026;22/09/2026;105923
OWG796;2022;LINEA 22 S.A.;22;302;2015;;;15/01/2026;14/09/2026;105735
PAX143;2022;LINEA 22 S.A.;22;313;2016;;;31/12/2026;03/10/2026;109625
PLJ318;2022;LINEA 22 S.A.;22;360;2016;;;31/12/2026;10/12/2026;109793
PLJ320;2022;LINEA 22 S.A.;22;345;2016;;;31/12/2026;23/12/2026;110043
PLJ321;2022;LINEA 22 S.A.;22;307;2016;;;11/10/2024;20/10/2026;97667
PMX284;2022;LINEA 22 S.A.;22;315;2016;;;08/02/2026;10/02/2027;322226
PMX285;2022;LINEA 22 S.A.;22;352;2016;;;31/12/2026;01/12/2026;109565
PMX286;2022;LINEA 22 S.A.;22;312;2016;;;31/12/2026;19/12/2026;109977
PNN728;2022;LINEA 22 S.A.;22;338;2016;;;22/01/2026;23/01/2027;321829
PNN729;2022;LINEA 22 S.A.;22;362;2016;;;31/12/2026;29/12/2026;110166
