dominio,empresaNro,razonSocial,linea,interno,anioModelo,chasisMarca,carroceriaMarca,vigenciaHasta,vigenciaHastaInspeccionTecnica,tecnicaNro
,9085,GRUPO LINEA 179 S.A.,179,626,2016,MERCEDES BENZ,METALPAR,31/12/2026,10/01/2027,321464
,9085,GRUPO LINEA 179 S.A.,179,616,2016,MERCEDES BENZ,ITALBUS,31/12/2026,28/02/2027,335795
,9085,GRUPO LINEA 179 S.A.,179,631,2016,MERCEDES BENZ,ITALBUS,31/12/2026,02/03/2027,337366
,9085,GRUPO LINEA 179 S.A.,179,606,2020,MERCEDES BENZ,AUTOBUS,31/12/2030,07/10/2026,96474
,9085,GRUPO LINEA 179 S.A.,179,636,2021,MERCEDES BENZ,AUTOBUS,31/12/2031,06/11/2026,106881
,9085,GRUPO LINEA 179 S.A.,179,637,2021,MERCEDES BENZ,AUTOBUS,31/12/2031,13/11/2026,112046
,9085,GRUPO LINEA 179 S.A.,179,613,2022,MERCEDES BENZ,ITALBUS,31/12/2032,02/03/2027,337364
,9085,GRUPO LINEA 179 S.A.,179,628,2022,MERCEDES BENZ,ITALBUS,31/12/2032,29/10/2026,106738
,9085,GRUPO LINEA 179 S.A.,179,618,2022,MERCEDES BENZ,ITALBUS,31/12/2032,04/11/2026,106808
,9085,GRUPO LINEA 179 S.A.,179,620,2022,MERCEDES BENZ,ITALBUS,31/12/2032,05/11/2026,106839
,9085,GRUPO LINEA 179 S.A.,179,632,2022,MERCEDES BENZ,ITALBUS,31/12/2032,30/10/2026,106766
,9085,GRUPO LINEA 179 S.A.,179,608,2022,MERCEDES BENZ,ITALBUS,31/12/2032,16/11/2026,112121
,9085,GRUPO LINEA 179 S.A.,179,635,2022,MERCEDES BENZ,ITALBUS,31/12/2032,16/09/2026,59185
,9085,GRUPO LINEA 179 S.A.,179,615,2022,MERCEDES BENZ,ITALBUS,31/12/2032,13/09/2026,59135
,9085,GRUPO LINEA 179 S.A.,179,641,2022,MERCEDES BENZ,ITALBUS,31/12/2032,18/09/2026,59254
,9085,GRUPO LINEA 179 S.A.,179,619,2023,MERCEDES BENZ,ITALBUS,31/12/2033,08/02/2027,326722
,9085,GRUPO LINEA 179 S.A.,179,625,2023,MERCEDES BENZ,ITALBUS,31/12/2033,13/02/2027,331752
,9085,GRUPO LINEA 179 S.A.,179,617,2023,MERCEDES BENZ,ITALBUS,31/12/2033,28/02/2027,335794
,9085,GRUPO LINEA 179 S.A.,179,603,2023,MERCEDES BENZ,ITALBUS,31/12/2033,13/02/2027,331757
,9085,GRUPO LINEA 179 S.A.,179,623,2023,MERCEDES BENZ,ITALBUS,31/12/2033,01/03/2027,337327
,9085,GRUPO LINEA 179 S.A.,179,601,2023,MERCEDES BENZ,ITALBUS,31/12/2033,01/03/2027,337326
,9085,GRUPO LINEA 179 S.A.,179,611,2014,MERCEDES BENZ,AUTOBUS,31/12/2027,06/10/2026,247104
,9085,GRUPO LINEA 179 S.A.,179,639,2014,MERCEDES BENZ,AUTOBUS,31/12/2027,30/09/2026,245586
,9085,GRUPO LINEA 179 S.A.,179,622,2015,MERCEDES BENZ,METALPAR,11/08/2026,08/10/2026,247120
,9085,GRUPO LINEA 179 S.A.,179,621,2015,MERCEDES BENZ,METALPAR,11/08/2026,18/09/2026,112142
,9085,GRUPO LINEA 179 S.A.,179,604,2015,MERCEDES BENZ,METALPAR,11/08/2026,02/10/2026,245634
,9085,GRUPO LINEA 179 S.A.,179,627,2015,MERCEDES BENZ,AUTOBUS,11/08/2026,18/10/2026,249759
,9085,GRUPO LINEA 179 S.A.,179,605,2015,MERCEDES BENZ,METALPAR,11/08/2026,08/10/2026,247117
,9085,GRUPO LINEA 179 S.A.,179,630,2016,MERCEDES BENZ,AUTOBUS,31/12/2026,11/12/2026,247226
,9085,GRUPO LINEA 179 S.A.,179,612,2016,MERCEDES BENZ,AUTOBUS,31/12/2026,16/12/2026,247294
,9085,GRUPO LINEA 179 S.A.,179,633,2016,MERCEDES BENZ,AUTOBUS,31/12/2026,02/12/2026,245650
,9085,GRUPO LINEA 179 S.A.,179,607,2016,MERCEDES BENZ,AUTOBUS,31/12/2026,13/12/2026,247278
,9085,GRUPO LINEA 179 S.A.,179,640,2016,MERCEDES BENZ,METALBUS,31/12/2026,23/10/2026,102670
,9085,GRUPO LINEA 179 S.A.,179,602,2016,MERCEDES BENZ,METALBUS,31/12/2026,22/12/2026,249807
,9085,GRUPO LINEA 179 S.A.,179,614,2016,MERCEDES BENZ,AUTOBUS,31/12/2026,19/12/2026,249782
