dominio;empresaNro;razonSocial;linea;interno;anioModelo;chasisMarca;carroceriaMarca;vigenciaHasta;vigenciaHastaInspeccionTecnica;tecnicaNro
AA544DS;2033;;197;;;;;;;
AA544DZ;2033;;197;;;;;;;
AA660MA;2033;;197;;;;;;;
AA945HF;2033;;197;;;;;;;
AB042BM;2033;;197;;;;;;;
AB190QH;2033;;197;;;;;;;
AB190QI;2033;;197;;;;;;;
AB190QJ;2033;;197;;;;;;;
AB190QL;2033;;197;;;;;;;
AB190QM;2033;;197;;;;;;;
AB309SX;2033;;197;;;;;;;
AB414EV;2033;;197;;;;;;;
AB414EW;2033;;197;;;;;;;
AB422HF;2033;;197;;;;;;;
AB422HH;2033;;197;;;;;;;
AB422HI;2033;;197;;;;;;;
AB422HJ;2033;;197;;;;;;;
AB422HL;2033;;197;;;;;;;
AB422HM;2033;;197;;;;;;;
AB422HN;2033;;197;;;;;;;
AB422HQ;2033;;197;;;;;;;
AB422HR;2033;;197;;;;;;;
AB422HS;2033;;197;;;;;;;
AB422HT;2033;;197;;;;;;;
AB422HU;2033;;197;;;;;;;
AB422HV;2033;;197;;;;;;;
AB475RY;2033;;197;;;;;;;
AB475RZ;2033;;197;;;;;;;
AB517RA;2033;;197;;;;;;;
AB517RB;2033;;197;;;;;;;
AB517RC;2033;;197;;;;;;;
AB517SJ;2033;;197;;;;;;;
AB586MW;2033;;197;;;;;;;
AB586MZ;2033;;197;;;;;;;
AB586NC;2033;;197;;;;;;;
AB586ND;2033;;197;;;;;;;
AB590FN;2033;;197;;;;;;;
AB625OO;2033;;197;;;;;;;
AB629KH;2033;;197;;;;;;;
AB629KI;2033;;197;;;;;;;
AB629KL;2033;;197;;;;;;;
AB674IK;2033;;197;;;;;;;
AB674IM;2033;;197;;;;;;;
AB674IO;2033;;197;;;;;;;
AB674IQ;2033;;197;;;;;;;
AB674IR;2033;;197;;;;;;;
AB674IS;2033;;197;;;;;;;
AB839ED;2033;;197;;;;;;;
AB990GS;2033;;197;;;;;;;
AB990GU;2033;;197;;;;;;;
AB990GX;2033;;197;;;;;;;
AB990GY;2033;;197;;;;;;;
AB990GZ;2033;;197;;;;;;;
AC071YM;2033;;197;;;;;;;
AC071YN;2033;;197;;;;;;;
AC513XZ;2033;;197;;;;;;;
AC564UE;2033;;197;;;;;;;
AC564UF;2033;;197;;;;;;;
AC564UH;2033;;197;;;;;;;
AC564UZ;2033;;197;;;;;;;
AC623QC;2033;;197;;;;;;;
AC623QF;2033;;197;;;;;;;
AC623QQ;2033;;197;;;;;;;
AC623QR;2033;;197;;;;;;;
AC623QV;2033;;197;;;;;;;
AC623QW;2033;;197;;;;;;;
AC685PY;2033;;197;;;;;;;
AC685PZ;2033;;197;;;;;;;
AC705PA;2033;;197;;;;;;;
AC705PB;2033;;197;;;;;;;
AC705PC;2033;;197;;;;;;;
AC705PE;2033;;197;;;;;;;
AC751DI;2033;;197;;;;;;;
AC751DJ;2033;;197;;;;;;;
AC751DK;2033;;197;;;;;;;
AC751DL;2033;;197;;;;;;;
AC751DM;2033;;197;;;;;;;
AC751DP;2033;;197;;;;;;;
AC751DR;2033;;197;;;;;;;
AC751DT;2033;;197;;;;;;;
AC751EB;2033;;197;;;;;;;
AC751EC;2033;;197;;;;;;;
AC751ED;2033;;197;;;;;;;
AC751EF;2033;;197;;;;;;;
AC751EJ;2033;;197;;;;;;;
AC757DX;2033;;197;;;;;;;
AC757DY;2033;;197;;;;;;;
AC769BL;2033;;197;;;;;;;
AC813NA;2033;;197;;;;;;;
AC813NE;2033;;197;;;;;;;
AC813NF;2033;;197;;;;;;;
AC842SE;2033;;197;;;;;;;
AC842SG;2033;;197;;;;;;;
AC842SH;2033;;197;;;;;;;
AC842SI;2033;;197;;;;;;;
AC842SJ;2033;;197;;;;;;;
AC984NU;2033;;197;;;;;;;
AC984NV;2033;;197;;;;;;;
AC984NW;2033;;197;;;;;;;
AC984NZ;2033;;197;;;;;;;
AD050IB;2033;;197;;;;;;;
AD274OM;2033;;197;;;;;;;
AD367PP;2033;;197;;;;;;;
AD367PR;2033;;197;;;;;;;
AD367PS;2033;;197;;;;;;;
AD448JV;2033;;197;;;;;;;
AD448JX;2033;;197;;;;;;;
AD448KD;2033;;197;;;;;;;
AD862QZ;2033;;197;;;;;;;
AD862RC;2033;;197;;;;;;;
AD862RF;2033;;197;;;;;;;
AD862RG;2033;;197;;;;;;;
AD862RH;2033;;197;;;;;;;
AE018VE;2033;;197;;;;;;;
AE018VI;2033;;197;;;;;;;
AE945MM;2033;;197;;;;;;;
AE945MN;2033;;197;;;;;;;
AE945MO;2033;;197;;;;;;;
AE945MP;2033;;197;;;;;;;
AE970LJ;2033;;197;;;;;;;
AE970LK;2033;;197;;;;;;;
AF150ID;2033;;197;;;;;;;
AF150IE;2033;;197;;;;;;;
AF150IF;2033;;197;;;;;;;
AF150IH;2033;;197;;;;;;;
AF150IJ;2033;;197;;;;;;;
AF150IL;2033;;197;;;;;;;
AF150IN;2033;;197;;;;;;;
AF195YQ;2033;;197;;;;;;;
AF195ZW;2033;;197;;;;;;;
AF195ZX;2033;;197;;;;;;;
AF195ZY;2033;;197;;;;;;;
AF195ZZ;2033;;197;;;;;;;
AF196AA;2033;;197;;;;;;;
AF196AB;2033;;197;;;;;;;
AF196AC;2033;;197;;;;;;;
AF196AD;2033;;197;;;;;;;
AF196AP;2033;;197;;;;;;;
AF739XO;2033;;197;;;;;;;
AF739XP;2033;;197;;;;;;;
AF900MN;2033;;197;;;;;;;
AF900MP;2033;;197;;;;;;;
AF900MQ;2033;;197;;;;;;;
AF900MT;2033;;197;;;;;;;
AF919IW;2033;;197;;;;;;;
AF919IX;2033;;197;;;;;;;
AF919IY;2033;;197;;;;;;;
AF920MT;2033;;197;;;;;;;
AF920MV;2033;;197;;;;;;;
AF920MW;2033;;197;;;;;;;
AF920MY;2033;;197;;;;;;;
AF961QP;2033;;197;;;;;;;
AF961QW;2033;;197;;;;;;;
AF961QX;2033;;197;;;;;;;
AF961QY;2033;;197;;;;;;;
AF961QZ;2033;;197;;;;;;;
AF961SZ;2033;;197;;;;;;;
AF961TA;2033;;197;;;;;;;
AF961TB;2033;;197;;;;;;;
AF961TF;2033;;197;;;;;;;
AF961TG;2033;;197;;;;;;;
AF961TH;2033;;197;;;;;;;
AF961TI;2033;;197;;;;;;;
AF961TS;2033;;197;;;;;;;
AF961UB;2033;;197;;;;;;;
AF961UC;2033;;197;;;;;;;
AF961UD;2033;;197;;;;;;;
AF961UE;2033;;197;;;;;;;
AF961VH;2033;;197;;;;;;;
AF961VI;2033;;197;;;;;;;
AF961VJ;2033;;197;;;;;;;
AF961VK;2033;;197;;;;;;;
AF961VL;2033;;197;;;;;;;
AF961VM;2033;;197;;;;;;;
AF961WL;2033;;197;;;;;;;
AF961WM;2033;;197;;;;;;;
AF961XG;2033;;197;;;;;;;
AF961XH;2033;;197;;;;;;;
AF961ZC;2033;;197;;;;;;;
AF961ZP;2033;;197;;;;;;;
AF961ZQ;2033;;197;;;;;;;
AF962VG;2033;;197;;;;;;;
AF962VH;2033;;197;;;;;;;
AF962VI;2033;;197;;;;;;;
AF962VJ;2033;;197;;;;;;;
AF992RJ;2033;;197;;;;;;;
AF992RK;2033;;197;;;;;;;
AF992RT;2033;;197;;;;;;;
AF992RX;2033;;197;;;;;;;
AF992RZ;2033;;197;;;;;;;
AG045KA;2033;;197;;;;;;;
AG442NZ;2033;;197;;;;;;;
AG442OA;2033;;197;;;;;;;
AG442OB;2033;;197;;;;;;;
AG442OZ;2033;;197;;;;;;;
AG531MA;2033;;197;;;;;;;
AG531MB;2033;;197;;;;;;;
AG800MX;2033;;197;;;;;;;
AG846OF;2033;;197;;;;;;;
AG846OG;2033;;197;;;;;;;
AH062GS;2033;;197;;;;;;;
AH062GV;2033;;197;;;;;;;
AH062GW;2033;;197;;;;;;;
AH062GX;2033;;197;;;;;;;
AH091WT;2033;;197;;;;;;;
AH091WU;2033;;197;;;;;;;
AH091WV;2033;;197;;;;;;;
AH091WW;2033;;197;;;;;;;
AH091WX;2033;;197;;;;;;;
AH091WY;2033;;197;;;;;;;
AH1941H;2033;;197;;;;;;;
AH194ID;2033;;197;;;;;;;
AH194IG;2033;;197;;;;;;;
AH194II;2033;;197;;;;;;;
AH194IJ;2033;;197;;;;;;;
AH194IK;2033;;197;;;;;;;
AH194IL;2033;;197;;;;;;;
AH194IM;2033;;197;;;;;;;
AH194IN;2033;;197;;;;;;;
AH194IO;2033;;197;;;;;;;
AH194IP;2033;;197;;;;;;;
AH205AD;2033;;197;;;;;;;
AH205AE;2033;;197;;;;;;;
AH205AF;2033;;197;;;;;;;
AH205AG;2033;;197;;;;;;;
AH205AN;2033;;197;;;;;;;
