dominio;empresaNro;razonSocial;linea;interno;anioModelo;chasisMarca;carroceriaMarca;vigenciaHasta;vigenciaHastaInspeccionTecnica;tecnicaNro
AA681EE;2048;;158;;;;;;;
AA836QY;2048;;158;;;;;;;
AA836QZ;2048;;158;;;;;;;
AA894KA;2048;;158;;;;;;;
AA894KD;2048;;158;;;;;;;
AB345QR;2048;;158;;;;;;;
AB345QU;2048;;158;;;;;;;
AB379WR;2048;;158;;;;;;;
AB379WS;2048;;158;;;;;;;
AB379WT;2048;;158;;;;;;;
AB411OU;2048;;158;;;;;;;
AB411PC;2048;;158;;;;;;;
AB411PG;2048;;158;;;;;;;
AB629FV;2048;;158;;;;;;;
AB629FX;2048;;158;;;;;;;
AB984ME;2048;;158;;;;;;;
AB984MF;2048;;158;;;;;;;
AB984MG;2048;;158;;;;;;;
AC139NW;2048;;158;;;;;;;
AC139NX;2048;;158;;;;;;;
AC167MI;2048;;158;;;;;;;
AC167MJ;2048;;158;;;;;;;
AC167MK;2048;;158;;;;;;;
AC167MN;2048;;158;;;;;;;
AC520JB;2048;;158;;;;;;;
AC830AH;2048;;158;;;;;;;
AC830AO;2048;;158;;;;;;;
AC873WK;2048;;158;;;;;;;
AC925SE;2048;;158;;;;;;;
AC925SG;2048;;158;;;;;;;
AC925SH;2048;;158;;;;;;;
AC925SJ;2048;;158;;;;;;;
AC925ST;2048;;158;;;;;;;
AC925TD;2048;;158;;;;;;;
AC925TN;2048;;158;;;;;;;
AD096BS;2048;;158;;;;;;;
AD096BX;2048;;158;;;;;;;
AD490XE;2048;;158;;;;;;;
AD514RV;2048;;158;;;;;;;
AD514RW;2048;;158;;;;;;;
AD631PO;2048;;158;;;;;;;
AD631PP;2048;;158;;;;;;;
AD631PQ;2048;;158;;;;;;;
AD631PR;2048;;158;;;;;;;
AD631PS;2048;;158;;;;;;;
AD631PT;2048;;158;;;;;;;
AD631PU;2048;;158;;;;;;;
AD631PV;2048;;158;;;;;;;
AD761FZ;2048;;158;;;;;;;
AD947YT;2048;;158;;;;;;;
AE046JL;2048;;158;;;;;;;
AE046JM;2048;;158;;;;;;;
AE046JN;2048;;158;;;;;;;
AE046JO;2048;;158;;;;;;;
AE046JP;2048;;158;;;;;;;
AE112GE;2048;;158;;;;;;;
AE112GH;2048;;158;;;;;;;
AE149KG;2048;;158;;;;;;;
AE512KR;2048;;158;;;;;;;
AE512KS;2048;;158;;;;;;;
AE512KT;2048;;158;;;;;;;
AE512KU;2048;;158;;;;;;;
AE512KV;2048;;158;;;;;;;
AE512KY;2048;;158;;;;;;;
AE512KZ;2048;;158;;;;;;;
AE512LA;2048;;158;;;;;;;
AE512LB;2048;;158;;;;;;;
AE512LC;2048;;158;;;;;;;
AE512LD;2048;;158;;;;;;;
AE512LE;2048;;158;;;;;;;
AE512LF;2048;;158;;;;;;;
AE624YE;2048;;158;;;;;;;
AE624YN;2048;;158;;;;;;;
AF266IF;2048;;158;;;;;;;
AF332NQ;2048;;158;;;;;;;
AF332OD;2048;;158;;;;;;;
AF332OF;2048;;158;;;;;;;
AF332OG;2048;;158;;;;;;;
AF395WJ;2048;;158;;;;;;;
AF395WL;2048;;158;;;;;;;
AF395WM;2048;;158;;;;;;;
AF525CK;2048;;158;;;;;;;
AF525CL;2048;;158;;;;;;;
AF571KY;2048;;158;;;;;;;
AF627NO;2048;;158;;;;;;;
AF627NP;2048;;158;;;;;;;
AF951RH;2048;;158;;;;;;;
AF951RI;2048;;158;;;;;;;
AG050EB;2048;;158;;;;;;;
AG050EC;2048;;158;;;;;;;
AG050ED;2048;;158;;;;;;;
AG050EE;2048;;158;;;;;;;
AG050EF;2048;;158;;;;;;;
AG202SJ;2048;;158;;;;;;;
AG366OH;2048;;158;;;;;;;
AG469ZG;2048;;158;;;;;;;
AG469ZH;2048;;158;;;;;;;
AG469ZI;2048;;158;;;;;;;
AG469ZJ;2048;;158;;;;;;;
AG469ZK;2048;;158;;;;;;;
