dominio,interno,servicios,anioModelo,cantAsientos,empresaNro,cuit,razonSocial,vigenciaHastaInspeccionTecnica,tecnicaNro,tipoTecnica,categoriaAprob,CarroceriaMarca,CarroceriaModelo,expOrig,expModif,disposicion,tacografoMarca,tacografoNro,linea,chasisNro,chasisMarca,chasisModelo,accesibilidad,jurisdiccion,aireAcondicionado,vigenciaHasta
AA040CS,43,SERVICIO COMÚN,2016,27,2015,30546337088,TRANSPORTES NUEVA CHICAGO C.I.S.A.,12/11/2026,116418,CENT,URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO,METALPAR,,50229/2016,,0044/16,,,80,8AB368187GA146112,MERCEDES BENZ,OH 1721 L-SB/62,SI,JN:NACIONAL,SI,UC:2026-12-31
AB181RS,4,SERVICIO COMÚN,2017,25,2015,30546337088,TRANSPORTES NUEVA CHICAGO C.I.S.A.,14/11/2026,116472,CENT,URBANO PISO BAJO MOV RED,METALPAR,,2667/2017,,0007/17,,,80,9BM382189HB041141,MERCEDES BENZ,O 500 U 1826/59,SI,JN:NACIONAL,SI,UC:2027-12-31
AB284IW,41,SERVICIO COMÚN,2017,25,2015,30546337088,TRANSPORTES NUEVA CHICAGO C.I.S.A.,23/12/2026,120541,CENT,URBANO PISO BAJO MOV RED,METALPAR,,2667/2017,,0007/17,,,80,9BM382189HB040954,MERCEDES BENZ,O 500 U 1826/59,SI,JN:NACIONAL,SI,UC:2027-12-31
AC921YP,21,SERVICIO COMÚN,2018,27,2015,30546337088,TRANSPORTES NUEVA CHICAGO C.I.S.A.,06/09/2026,926505,CENT,URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO,LA FAVORITA,,68080/2016,,0098/16,,,80,9BM382189JB073511,MERCEDES BENZ,O 500 U 1826/59,SI,JN:NACIONAL,SI,UC:2028-12-31
AC921YQ,35,SERVICIO COMÚN,2018,27,2015,30546337088,TRANSPORTES NUEVA CHICAGO C.I.S.A.,12/09/2026,926679,CENT,URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO,LA FAVORITA,,68080/2016,,0098/16,,,80,9BM382189JB083275,MERCEDES BENZ,O 500 U 1826/59,SI,JN:NACIONAL,SI,UC:2028-12-31
AC921YU,46,SERVICIO COMÚN,2018,27,2015,30546337088,TRANSPORTES NUEVA CHICAGO C.I.S.A.,01/01/2027,120857,CENT,URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO,LA FAVORITA,,68080/2016,,0098/16,,,80,9BM382189JB083799,MERCEDES BENZ,O 500 U 1826/59,SI,JN:NACIONAL,SI,UC:2028-12-31
AC921YV,40,SERVICIO COMÚN,2018,27,2015,30546337088,TRANSPORTES NUEVA CHICAGO C.I.S.A.,26/02/2027,262631,CENT,URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO,LA FAVORITA,,68080/2016,,0098/16,,,80,9BM382189JB084178,MERCEDES BENZ,O 500 U 1826/59,SI,JN:NACIONAL,SI,UC:2028-12-31
AC921YW,72,SERVICIO COMÚN,2018,27,2015,30546337088,TRANSPORTES NUEVA CHICAGO C.I.S.A.,14/01/2027,121245,CENT,URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO,LA FAVORITA,,68080/2016,,0098/16,,,80,9BM382189JB080221,MERCEDES BENZ,O 500 U 1826/59,SI,JN:NACIONAL,SI,UC:2028-12-31
AC921YX,10,SERVICIO COMÚN,2018,27,2015,30546337088,TRANSPORTES NUEVA CHICAGO C.I.S.A.,28/11/2026,116983,CENT,URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO,LA FAVORITA,,68080/2016,,0098/16,,,80,9BM382189JB076902,MERCEDES BENZ,O 500 U 1826/59,SI,JN:NACIONAL,SI,UC:2028-12-31
AC921YY,20,SERVICIO COMÚN,2018,27,2015,30546337088,TRANSPORTES NUEVA CHICAGO C.I.S.A.,18/02/2027,262273,CENT,URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO,LA FAVORITA,,68080/2016,,0098/16,,,80,9BM382189JB076959,MERCEDES BENZ,O 500 U 1826/59,SI,JN:NACIONAL,SI,UC:2028-12-31
AC921ZA,22,SERVICIO COMÚN,2018,27,2015,30546337088,TRANSPORTES NUEVA CHICAGO C.I.S.A.,01/02/2027,257049,CENT,URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO,LA FAVORITA,,68080/2016,,0098/16,,,80,9BM382189JB080203,MERCEDES BENZ,O 500 U 1826/59,SI,JN:NACIONAL,SI,UC:2028-12-31
AC921ZB,11,SERVICIO COMÚN,2018,27,2015,30546337088,TRANSPORTES NUEVA CHICAGO C.I.S.A.,13/01/2027,121202,CENT,URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO,LA FAVORITA,,68080/2016,,0098/16,,,80,9BM382189JB076933,MERCEDES BENZ,O 500 U 1826/59,SI,JN:NACIONAL,SI,UC:2028-12-31
