dominio;empresaNro;razonSocial;linea;interno;anioModelo;chasisMarca;carroceriaMarca;vigenciaHasta;vigenciaHastaInspeccionTecnica;tecnicaNro
AA346DN;2111;AA346DN;178;88;2017;;;08/12/2026;;CENT
AA618TJ;2111;AA618TJ;178;38;2017;;;17/01/2027;;CENT
AB217CU;2111;AB217CU;178;91;2017;;;23/01/2027;;CENT
AB217CV;2111;AB217CV;178;4;2017;;;27/01/2027;;CENT
AB527KR;2111;AB527KR;178;51;2017;;;04/11/2026;;CENT
AB983QV;2111;AB983QV;178;81;2017;;;30/01/2027;;CENT
AB983QX;2111;AB983QX;178;52;2017;;;06/02/2027;;CENT
AB983QY;2111;AB983QY;178;77;2017;;;31/01/2027;;CENT
AC029NO;2111;AC029NO;178;29;2017;;;25/09/2026;;CENT
AC029NQ;2111;AC029NQ;178;26;2017;;;19/09/2026;;CENT
AC385VK;2111;AC385VK;178;57;2018;;;05/12/2026;;CENT
AC669YG;2111;AC669YG;178;3;2018;;;06/10/2026;;CENT
AC743JA;2111;AC743JA;178;18;2018;;;20/10/2026;;CENT
AC743JB;2111;AC743JB;178;59;2018;;;22/10/2026;;CENT
AC966VW;2111;AC966VW;178;10;2019;;;18/09/2026;;CENT
AC966VX;2111;AC966VX;178;24;2019;;;26/11/2026;;CENT
AC966VY;2111;AC966VY;178;6;2019;;;29/10/2026;;CENT
AD044LK;2111;AD044LK;178;5;2019;;;11/09/2026;;CENT
AD044LL;2111;AD044LL;178;21;2019;;;27/09/2026;;CENT
AD044LZ;2111;AD044LZ;178;35;2019;;;20/09/2026;;CENT
AD058VB;2111;AD058VB;178;62;2019;;;12/09/2026;;CENT
AD058VC;2111;AD058VC;178;66;2019;;;21/09/2026;;CENT
AD058WQ;2111;AD058WQ;178;27;2019;;;11/09/2026;;CENT
AD095ST;2111;AD095ST;178;68;2018;;;07/01/2027;;CENT
AD095SU;2111;AD095SU;178;28;2018;;;01/01/2027;;CENT
AD095SV;2111;AD095SV;178;9;2018;;;16/01/2027;;CENT
AD095SW;2111;AD095SW;178;13;2018;;;03/01/2027;;CENT
AD320XG;2111;AD320XG;178;80;2018;;;18/11/2026;;CENT
AD320XH;2111;AD320XH;178;50;2018;;;08/11/2026;;CENT
AD320XI;2111;AD320XI;178;15;2018;;;13/11/2026;;CENT
AD320XJ;2111;AD320XJ;178;72;2018;;;15/11/2026;;CENT
AD672OV;2111;AD672OV;178;19;2019;;;12/11/2026;;CENT
AD706TI;2111;AD706TI;178;22;2019;;;18/11/2026;;CENT
AD947YU;2111;AD947YU;178;75;2019;;;08/07/2025;;CENT
AD947YV;2111;AD947YV;178;32;2019;;;04/12/2026;;CENT
AE018YT;2111;AE018YT;178;85;2020;;;03/02/2027;;CENT
AE018YU;2111;AE018YU;178;25;2020;;;28/01/2027;;CENT
AE046JG;2111;AE046JG;178;76;2020;;;14/02/2027;;CENT
AE112GI;2111;AE112GI;178;20;2020;;;25/12/2026;;CENT
AE112GJ;2111;AE112GJ;178;60;2020;;;18/09/2025;;CENT
AE112GL;2111;AE112GL;178;49;2020;;;24/02/2027;;CENT
AE288IV;2111;AE288IV;178;61;2020;;;24/01/2027;;CENT
AE338LH;2111;AE338LH;178;34;2020;;;06/01/2027;;CENT
AE590JM;2111;AE590JM;178;71;2021;;;13/01/2027;;CENT
AE624XE;2111;AE624XE;178;30;2021;;;12/11/2026;;CENT
AE700GQ;2111;AE700GQ;178;12;2021;;;29/10/2026;;CENT
AE751LL;2111;AE751LL;178;31;2021;;;06/01/2027;;CENT
AE772VW;2111;AE772VW;178;53;2021;;;30/09/2026;;CENT
AE801OC;2111;AE801OC;178;16;2021;;;18/12/2026;;CENT
AE801OD;2111;AE801OD;178;55;2021;;;19/12/2026;;CENT
AE888NY;2111;AE888NY;178;43;2021;;;02/01/2027;;CENT
AE922FA;2111;AE922FA;178;2;2021;;;08/01/2027;;CENT
AE971FA;2111;AE971FA;178;41;2021;;;14/01/2027;;CENT
AE971FD;2111;AE971FD;178;33;2021;;;22/12/2026;;CENT
AF069RE;2111;AF069RE;178;7;2021;;;12/11/2026;;CENT
AF173US;2111;AF173US;178;45;2022;;;03/12/2026;;CENT
AF286KJ;2111;AF286KJ;178;58;2022;;;27/09/2026;;CENT
AF286KK;2111;AF286KK;178;101;2022;;;16/09/2026;;CENT
AF286KL;2111;AF286KL;178;69;2022;;;30/09/2026;;CENT
AF286KM;2111;AF286KM;178;37;2022;;;14/10/2026;;CENT
AF286KN;2111;AF286KN;178;63;2022;;;08/10/2026;;CENT
AF329OU;2111;AF329OU;178;90;2022;;;11/11/2026;;CENT
AF329OV;2111;AF329OV;178;86;2022;;;05/11/2026;;CENT
AF431JB;2111;AF431JB;178;70;2022;;;24/10/2026;;CENT
AF431JH;2111;AF431JH;178;40;2022;;;28/11/2026;;CENT
AF431JQ;2111;AF431JQ;178;14;2022;;;23/10/2026;;CENT
AF508XW;2111;AF508XW;178;64;2022;;;21/02/2027;;CENT
AF508XX;2111;AF508XX;178;1;2022;;;22/02/2027;;CENT
AF521KJ;2111;AF521KJ;178;98;2022;;;02/12/2026;;CENT
AF521KM;2111;AF521KM;178;73;2022;;;01/12/2026;;CENT
AF756OK;2111;AF756OK;178;46;2023;;;21/02/2027;;CENT
AF853LN;2111;AF853LN;178;44;2023;;;19/02/2027;;CENT
AF894KF;2111;AF894KF;178;97;2023;;;10/02/2027;;CENT
AF957US;2111;AF957US;178;93;2023;;;31/01/2027;;CENT
AF957UY;2111;AF957UY;178;94;2023;;;05/02/2027;;CENT
AF957VN;2111;AF957VN;178;95;2023;;;04/02/2027;;CENT
AG026GK;2111;AG026GK;178;82;2023;;;24/02/2027;;CENT
AG026GL;2111;AG026GL;178;96;2023;;;25/02/2027;;CENT
AG026GM;2111;AG026GM;178;23;2023;;;02/03/2027;;CENT
AG026GN;2111;AG026GN;178;8;2023;;;06/09/2026;;CENT
AH266AS;2111;AH266AS;178;74;2025;;;24/10/2026;;CENT
AH266AU;2111;AH266AU;178;92;2025;;;22/10/2026;;CENT
LMH405;2111;SERVICIO COMÚN;178;83;2013;;;14/12/2026;;CENT
LMH407;2111;SERVICIO COMÚN;178;65;2013;;;11/12/2026;;CENT
LPT515;2111;SERVICIO COMÚN;178;67;2013;;;12/12/2026;;CENT
LSS735;2111;SERVICIO COMÚN;178;39;2013;;;18/12/2026;;CENT
