dominio;interno;servicios;anioModelo;cantAsientos;empresaNro;cuit;razonSocial;vigenciaHastaInspeccionTecnica;tecnicaNro;tipoTecnica;categoriaAprob;CarroceriaMarca;CarroceriaModelo;expOrig;expModif;disposicion;tacografoMarca;tacografoNro;linea;chasisNro;chasisMarca;chasisModelo;accesibilidad;jurisdiccion;aireAcondicionado;vigenciaHasta
AF395WK;4731;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;18/09/2026;72346;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1ANM002132;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF395WO;4735;SERVICIO COMÚN;2022;29;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;15/02/2027;347448;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-26366578;;015/21;;;134;8BBC59B1ANM003194;AGRALE;MT 15.0 LE Euro V;SI;JN:NACIONAL;SI;UC:2032-12-31
AF481EX;4740;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;08/10/2026;76939;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1APM002179;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF481EY;4739;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;06/10/2026;76907;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1APM002178;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF481EZ;4737;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;26/09/2026;74604;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1APM002177;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF481FA;4736;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;16/10/2026;77022;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1APM002176;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF481FB;4734;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;07/10/2026;76918;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1APM002175;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF481FT;4728;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;16/10/2026;77024;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1APM002209;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF481FU;4727;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;14/11/2026;130666;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1APM002208;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF481FV;4717;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;20/10/2026;125355;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1APM002204;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF481FW;4719;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;17/10/2026;77040;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1APM002205;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF481FX;4723;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;13/10/2026;76979;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1APM002207;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF481FY;4720;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;13/11/2026;130652;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1APM002206;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF525BH;4744;SERVICIO COMÚN;2022;29;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;12/11/2026;125537;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-26366578;;015/21;;;134;8BBC59B1APM003232;AGRALE;MT 15.0 LE Euro V;SI;JN:NACIONAL;SI;UC:2032-12-31
AF525BI;4738;SERVICIO COMÚN;2022;29;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;09/10/2026;76950;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-26366578;;015/21;;;134;8BBC59B1APM003233;AGRALE;MT 15.0 LE Euro V;SI;JN:NACIONAL;SI;UC:2032-12-31
AF525BJ;4716;SERVICIO COMÚN;2022;29;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;13/12/2026;263397;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-26366578;;015/21;;;134;8BBC59B1APM003231;AGRALE;MT 15.0 LE Euro V;SI;JN:NACIONAL;SI;UC:2032-12-31
AF525BK;4726;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;06/11/2026;125480;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1APM002213;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF525BL;4708;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;21/11/2026;130739;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1APM002215;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF525BM;4748;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;07/11/2026;125491;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1APM002214;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF525BN;4730;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;19/11/2026;130712;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1APM002210;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF525BO;4724;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;26/11/2026;130770;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1APM002212;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF525BP;4722;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;13/12/2026;263399;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1APM002211;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF571KX;4715;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;27/12/2026;265544;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1APM002230;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF571KZ;4712;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;10/01/2027;269597;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1APM002226;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF571LA;4718;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;04/01/2027;269561;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1APM002228;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF571LB;4714;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;04/01/2027;269557;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1APM002227;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
