dominio;interno;servicios;anioModelo;cantAsientos;empresaNro;cuit;razonSocial;vigenciaHastaInspeccionTecnica;tecnicaNro;tipoTecnica;categoriaAprob;CarroceriaMarca;CarroceriaModelo;expOrig;expModif;disposicion;tacografoMarca;tacografoNro;linea;chasisNro;chasisMarca;chasisModelo;accesibilidad;jurisdiccion;aireAcondicionado;vigenciaHasta
AA894KA;8708;SERVICIO COMÚN;2017;25;2048;30546246945;EL PUENTE S.A.T.;20/11/2026;119346;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;65134/2016;;0056/16;;;128;8BBC59B1AHM002367;AGRALE;MT 15.0 LE Euro V;SI;JN:NACIONAL;SI;UC:2026-06-02
AB984MF;8731;SERVICIO COMÚN;2018;25;2048;30546246945;EL PUENTE S.A.T.;18/02/2027;418973;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;65134/2016;;0056/16;;;128;8BBC59B1AJM002485;AGRALE;MT 15.0 LE Euro V;SI;JN:NACIONAL;SI;UC:2028-12-31
AC520JB;8730;SERVICIO COMÚN;2018;25;2048;30546246945;EL PUENTE S.A.T.;10/10/2026;114222;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;65134/2016;;0056/16;;;128;8BBC59B1AJM002624;AGRALE;MT 15.0 LE Euro V;SI;JN:NACIONAL;SI;UC:2028-12-31
AC873WK;8713;SERVICIO COMÚN;2018;25;2048;30546246945;EL PUENTE S.A.T.;05/11/2026;115759;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;65134/2016;;0056/16;;;128;8BBC59B1AJM002685;AGRALE;MT 15.0 LE Euro V;SI;JN:NACIONAL;SI;UC:2028-12-31
AC925SG;8710;SERVICIO COMÚN;2018;25;2048;30546246945;EL PUENTE S.A.T.;24/10/2026;115662;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;65134/2016;;0056/16;;;128;8BBC59B1AJM002684;AGRALE;MT 15.0 LE Euro V;SI;JN:NACIONAL;SI;UC:2028-12-31
AC925SH;8732;SERVICIO COMÚN;2018;25;2048;30546246945;EL PUENTE S.A.T.;21/10/2026;114400;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;65134/2016;;0056/16;;;128;8BBC59B1AJM002686;AGRALE;MT 15.0 LE Euro V;SI;JN:NACIONAL;SI;UC:2028-12-31
AC925ST;8712;SERVICIO COMÚN;2018;25;2048;30546246945;EL PUENTE S.A.T.;06/01/2027;255996;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;65134/2016;;0056/16;;;128;8BBC59B1AJM002683;AGRALE;MT 15.0 LE Euro V;SI;JN:NACIONAL;SI;UC:2028-12-31
AC925TD;8709;SERVICIO COMÚN;2018;25;2048;30546246945;EL PUENTE S.A.T.;24/01/2027;260505;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;65134/2016;;0056/16;;;128;8BBC59B1AJM002702;AGRALE;MT 15.0 LE Euro V;SI;JN:NACIONAL;SI;UC:2028-12-31
AC925TN;8711;SERVICIO COMÚN;2018;25;2048;30546246945;EL PUENTE S.A.T.;20/10/2026;114367;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;65134/2016;;0056/16;;;128;8BBC59B1AJM002703;AGRALE;MT 15.0 LE Euro V;SI;JN:NACIONAL;SI;UC:2028-12-31
AD514RV;8735;SERVICIO COMÚN;2019;28;2048;30546246945;EL PUENTE S.A.T.;17/01/2027;259165;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;METALPAR;;63696/2017;;087/17;;;128;8BBC67B1AKM001307;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2029-12-31
