DOMINIO;INTERNO;MODELO (AÑO);HABILITADO HASTA;TÉCNICA VIGENTE HASTA;N° TÉCNICA;EMPRESA NRO;RAZON SOCIAL;LINEA
AB411OX;1035;2017;UC: 2026-12-11;18/12/2026;255151;2013;TRANSPORTES LOPE DE VEGA S.A.C.I.;56
AB533RN;548;2018;UC: 2028-12-31;18/12/2026;253285;2013;TRANSPORTES LOPE DE VEGA S.A.C.I.;56
AB709YG;525;2018;UC: 2028-12-31;10/12/2026;253166;2013;TRANSPORTES LOPE DE VEGA S.A.C.I.;56
AB709ZR;518;2018;UC: 2028-12-31;13/01/2027;259061;2013;TRANSPORTES LOPE DE VEGA S.A.C.I.;56
AB771DA;521;2018;UC: 2028-12-31;24/01/2027;260503;2013;TRANSPORTES LOPE DE VEGA S.A.C.I.;56
AB771DB;526;2018;UC: 2028-12-31;04/12/2026;130819;2013;TRANSPORTES LOPE DE VEGA S.A.C.I.;56
AB799DK;1032;2017;UC: 2027-12-31;06/02/2027;260668;2013;TRANSPORTES LOPE DE VEGA S.A.C.I.;56
AB799DL;1034;2017;UC: 2027-12-31;11/02/2027;418852;2013;TRANSPORTES LOPE DE VEGA S.A.C.I.;56
AB799DN;1024;2017;UC: 2027-12-31;16/01/2027;259134;2013;TRANSPORTES LOPE DE VEGA S.A.C.I.;56
AC167MG;510;2018;UC: 2028-12-31;02/12/2026;122363;2013;TRANSPORTES LOPE DE VEGA S.A.C.I.;56
AC167MH;1027;2018;UC: 2024-01-07;17/01/2027;259169;2013;TRANSPORTES LOPE DE VEGA S.A.C.I.;56
AC167MM;502;2018;UC: 2024-03-01;09/12/2026;253135;2013;TRANSPORTES LOPE DE VEGA S.A.C.I.;56
AC167MR;1026;2018;UC: 2024-01-03;23/01/2027;259280;2013;TRANSPORTES LOPE DE VEGA S.A.C.I.;56
AC310PT;1037;2018;UC: 2024-01-05;14/01/2027;259086;2013;TRANSPORTES LOPE DE VEGA S.A.C.I.;56
AC669YF;524;2018;UC: 2028-12-31;12/02/2027;418870;2013;TRANSPORTES LOPE DE VEGA S.A.C.I.;56
AC669YH;528;2018;UC: 2028-12-31;06/11/2026;125472;2013;TRANSPORTES LOPE DE VEGA S.A.C.I.;56
AC669YI;537;2018;UC: 2028-12-31;21/02/2027;419055;2013;TRANSPORTES LOPE DE VEGA S.A.C.I.;56
AC669YR;922;2018;UC: 2023-12-02;16/01/2027;269643;2013;TRANSPORTES LOPE DE VEGA S.A.C.I.;56
AC829ZO;546;2018;UC: 2028-12-31;11/11/2026;125519;2013;TRANSPORTES LOPE DE VEGA S.A.C.I.;56
AC829ZP;545;2018;UC: 2028-12-31;19/11/2026;130703;2013;TRANSPORTES LOPE DE VEGA S.A.C.I.;56
