dominio;empresaNro;razonSocial;linea;interno;anioModelo;chasisMarca;carroceriaMarca;vigenciaHasta;vigenciaHastaInspeccionTecnica;tecnicaNro
AA513ZD;2079;;79;;;;;;;
AA914MK;2079;;79;;;;;;;
AA935NB;2079;;79;;;;;;;
AA935NU;2079;;79;;;;;;;
AA935OH;2079;;79;;;;;;;
AB340HD;2079;;79;;;;;;;
AB340HG;2079;;79;;;;;;;
AB340HN;2079;;79;;;;;;;
AB488PQ;2079;;79;;;;;;;
AB488PR;2079;;79;;;;;;;
AB488PS;2079;;79;;;;;;;
AB488PU;2079;;79;;;;;;;
AB488PV;2079;;79;;;;;;;
AB933WR;2079;;79;;;;;;;
AB933WT;2079;;79;;;;;;;
AB984LB;2079;;79;;;;;;;
AB984LC;2079;;79;;;;;;;
AC167LY;2079;;79;;;;;;;
AC302BF;2079;;79;;;;;;;
AC302BG;2079;;79;;;;;;;
AC467NE;2079;;79;;;;;;;
AC467NH;2079;;79;;;;;;;
AC616YG;2079;;79;;;;;;;
AC616YI;2079;;79;;;;;;;
AC873VC;2079;;79;;;;;;;
AC873VD;2079;;79;;;;;;;
AC966VK;2079;;79;;;;;;;
AC966VL;2079;;79;;;;;;;
AC966VQ;2079;;79;;;;;;;
AD058UU;2079;;79;;;;;;;
AD058UV;2079;;79;;;;;;;
AD058UX;2079;;79;;;;;;;
AD058UY;2079;;79;;;;;;;
AD058UZ;2079;;79;;;;;;;
AD109OA;2079;;79;;;;;;;
AD109OH;2079;;79;;;;;;;
AD109OI;2079;;79;;;;;;;
AD109OJ;2079;;79;;;;;;;
AD109OK;2079;;79;;;;;;;
AD184LA;2079;;79;;;;;;;
AD184LO;2079;;79;;;;;;;
AD198TO;2079;;79;;;;;;;
AD198TP;2079;;79;;;;;;;
AD198TQ;2079;;79;;;;;;;
AD255SO;2079;;79;;;;;;;
AD266UA;2079;;79;;;;;;;
AD266UB;2079;;79;;;;;;;
AD463TQ;2079;;79;;;;;;;
AD490XG;2079;;79;;;;;;;
AD528XT;2079;;79;;;;;;;
AD584PE;2079;;79;;;;;;;
AD584PT;2079;;79;;;;;;;
AD947XW;2079;;79;;;;;;;
AE046JH;2079;;79;;;;;;;
AE046JK;2079;;79;;;;;;;
AE094JM;2079;;79;;;;;;;
AE094KB;2079;;79;;;;;;;
AE094KE;2079;;79;;;;;;;
AE094KH;2079;;79;;;;;;;
AE094KI;2079;;79;;;;;;;
AE094KJ;2079;;79;;;;;;;
AE094KK;2079;;79;;;;;;;
AE112GK;2079;;79;;;;;;;
AE112GM;2079;;79;;;;;;;
AE149JS;2079;;79;;;;;;;
AE149KZ;2079;;79;;;;;;;
AE183RA;2079;;79;;;;;;;
AE183RB;2079;;79;;;;;;;
AE183RC;2079;;79;;;;;;;
AE183SB;2079;;79;;;;;;;
AE207GR;2079;;79;;;;;;;
AE207GS;2079;;79;;;;;;;
AE338LC;2079;;79;;;;;;;
AE338MI;2079;;79;;;;;;;
AE338MJ;2079;;79;;;;;;;
AE338MK;2079;;79;;;;;;;
AE338ML;2079;;79;;;;;;;
AE338MV;2079;;79;;;;;;;
AE512LW;2079;;79;;;;;;;
AE512LX;2079;;79;;;;;;;
AE590IT;2079;;79;;;;;;;
AE590IX;2079;;79;;;;;;;
AE624VV;2079;;79;;;;;;;
AE730DZ;2079;;79;;;;;;;
AE760YI;2079;;79;;;;;;;
AE763OA;2079;;79;;;;;;;
AE763OE;2079;;79;;;;;;;
AE763OG;2079;;79;;;;;;;
AE763OH;2079;;79;;;;;;;
AE763OI;2079;;79;;;;;;;
AE763OK;2079;;79;;;;;;;
AE763OL;2079;;79;;;;;;;
AE763OM;2079;;79;;;;;;;
AE763ON;2079;;79;;;;;;;
AE781OX;2079;;79;;;;;;;
AE781OY;2079;;79;;;;;;;
AE781OZ;2079;;79;;;;;;;
AE801OF;2079;;79;;;;;;;
AE801OG;2079;;79;;;;;;;
AE870QM;2079;;79;;;;;;;
AE870QN;2079;;79;;;;;;;
AE883JJ;2079;;79;;;;;;;
AE883JK;2079;;79;;;;;;;
AE883JL;2079;;79;;;;;;;
AE883JM;2079;;79;;;;;;;
AE883JN;2079;;79;;;;;;;
AE883JQ;2079;;79;;;;;;;
AE883JR;2079;;79;;;;;;;
AE931DN;2079;;79;;;;;;;
AE931DO;2079;;79;;;;;;;
AE931DP;2079;;79;;;;;;;
AE931DQ;2079;;79;;;;;;;
AE931DR;2079;;79;;;;;;;
AE998PH;2079;;79;;;;;;;
AE998PI;2079;;79;;;;;;;
AE998PJ;2079;;79;;;;;;;
AE998PK;2079;;79;;;;;;;
AE998PL;2079;;79;;;;;;;
AF033YC;2079;;79;;;;;;;
AF033YD;2079;;79;;;;;;;
AF033YE;2079;;79;;;;;;;
AF033YF;2079;;79;;;;;;;
AF033YG;2079;;79;;;;;;;
AF159SJ;2079;;79;;;;;;;
AF173UU;2079;;79;;;;;;;
AF233AC;2079;;79;;;;;;;
AF233AF;2079;;79;;;;;;;
AF233AM;2079;;79;;;;;;;
AF233AN;2079;;79;;;;;;;
AF233AO;2079;;79;;;;;;;
AF327CM;2079;;79;;;;;;;
AF327CN;2079;;79;;;;;;;
AF327CO;2079;;79;;;;;;;
AF327CP;2079;;79;;;;;;;
AF393PS;2079;;79;;;;;;;
AF393PT;2079;;79;;;;;;;
AF393PV;2079;;79;;;;;;;
AF431KG;2079;;79;;;;;;;
AF431KH;2079;;79;;;;;;;
AF431KI;2079;;79;;;;;;;
AF431KJ;2079;;79;;;;;;;
AF452CI;2079;;79;;;;;;;
AF481GQ;2079;;79;;;;;;;
AF551LZ;2079;;79;;;;;;;
AF577DA;2079;;79;;;;;;;
AF577DB;2079;;79;;;;;;;
AF577DC;2079;;79;;;;;;;
AF577DD;2079;;79;;;;;;;
AF603TU;2079;;79;;;;;;;
AF603TV;2079;;79;;;;;;;
AF603TW;2079;;79;;;;;;;
AF603TX;2079;;79;;;;;;;
AF603TY;2079;;79;;;;;;;
AF614EC;2079;;79;;;;;;;
AF614ED;2079;;79;;;;;;;
AF614EF;2079;;79;;;;;;;
AF614EN;2079;;79;;;;;;;
AF614EO;2079;;79;;;;;;;
AF639EX;2079;;79;;;;;;;
AF639EY;2079;;79;;;;;;;
AF639EZ;2079;;79;;;;;;;
AF641UC;2079;;79;;;;;;;
AF654KA;2079;;79;;;;;;;
AF654KB;2079;;79;;;;;;;
AF794LQ;2079;;79;;;;;;;
AF794LS;2079;;79;;;;;;;
AF928IB;2079;;79;;;;;;;
AF928IG;2079;;79;;;;;;;
AF928IH;2079;;79;;;;;;;
AG050EL;2079;;79;;;;;;;
AG050EM;2079;;79;;;;;;;
AG050EN;2079;;79;;;;;;;
AG145ZE;2079;;79;;;;;;;
AG145ZG;2079;;79;;;;;;;
AG145ZJ;2079;;79;;;;;;;
AG145ZL;2079;;79;;;;;;;
AG145ZN;2079;;79;;;;;;;
AG146AC;2079;;79;;;;;;;
AG191XX;2079;;79;;;;;;;
AG191XY;2079;;79;;;;;;;
AG232XT;2079;;79;;;;;;;
AG453TN;2079;;79;;;;;;;
AG453TO;2079;;79;;;;;;;
AG453TP;2079;;79;;;;;;;
AG453TQ;2079;;79;;;;;;;
AG453TR;2079;;79;;;;;;;
AG453TS;2079;;79;;;;;;;
AG491IS;2079;;79;;;;;;;
AG578ZL;2079;;79;;;;;;;
AG578ZT;2079;;79;;;;;;;
AG578ZX;2079;;79;;;;;;;
AG578ZY;2079;;79;;;;;;;
AG653MB;2079;;79;;;;;;;
AG653MC;2079;;79;;;;;;;
AG653NK;2079;;79;;;;;;;
AG653NL;2079;;79;;;;;;;
AG653NU;2079;;79;;;;;;;
AG653NV;2079;;79;;;;;;;
AG682PI;2079;;79;;;;;;;
AG682PJ;2079;;79;;;;;;;
AG682PK;2079;;79;;;;;;;
AG682PL;2079;;79;;;;;;;
AG682PM;2079;;79;;;;;;;
AG682PN;2079;;79;;;;;;;
AG708WJ;2079;;79;;;;;;;
AG947BH;2079;;79;;;;;;;
AG947BI;2079;;79;;;;;;;
AH642JY;2079;;79;;;;;;;
AH642JZ;2079;;79;;;;;;;
AH642KA;2079;;79;;;;;;;
AH642KB;2079;;79;;;;;;;
AI058QY;2079;;79;;;;;;;
AI058QZ;2079;;79;;;;;;;
